id,email_text,category,sentiment,priority,email_length,clean_text,tokens,tokens_no_stopwords,lemmatized_tokens,pos_tags,entities
1566,I am unable to download my invoice for the month of May. The download button is not working.,Billing,Negative,High,18,i am unable to download my invoice for the month of may the download button is not working,"['i', 'am', 'unable', 'to', 'download', 'my', 'invoice', 'for', 'the', 'month', 'of', 'may', 'the', 'download', 'button', 'is', 'not', 'working']","['unable', 'download', 'invoice', 'month', 'may', 'download', 'button', 'working']","['unable', 'download', 'invoice', 'month', 'may', 'download', 'button', 'working']","[('unable', 'JJ'), ('download', 'NN'), ('invoice', 'JJ'), ('month', 'NN'), ('may', 'MD'), ('download', 'VB'), ('button', 'NN'), ('working', 'VBG')]","[{'text': 'the month of May', 'label': 'DATE'}]"
1567,"The customer support representative was very rude and unhelpful during my call on November 20, 2025. I need this escalated.",Complaint,Negative,Critical,20,the customer support representative was very rude and unhelpful during my call on november i need this escalated,"['the', 'customer', 'support', 'representative', 'was', 'very', 'rude', 'and', 'unhelpful', 'during', 'my', 'call', 'on', 'november', 'i', 'need', 'this', 'escalated']","['customer', 'support', 'representative', 'rude', 'unhelpful', 'call', 'november', 'need', 'escalated']","['customer', 'support', 'representative', 'rude', 'unhelpful', 'call', 'november', 'need', 'escalated']","[('customer', 'NN'), ('support', 'NN'), ('representative', 'JJ'), ('rude', 'NN'), ('unhelpful', 'JJ'), ('call', 'NN'), ('november', 'NNP'), ('need', 'NN'), ('escalated', 'VBD')]","[{'text': 'November 20, 2025', 'label': 'DATE'}]"
1568,I need to update my registered email address from user123@yahoo.com to newaddress@outlook.com. Please make this change.,Account,Neutral,High,16,i need to update my registered email address from to please make this change,"['i', 'need', 'to', 'update', 'my', 'registered', 'email', 'address', 'from', 'to', 'please', 'make', 'this', 'change']","['need', 'update', 'registered', 'email', 'address', 'please', 'make', 'change']","['need', 'update', 'registered', 'email', 'address', 'please', 'make', 'change']","[('need', 'NN'), ('update', 'NN'), ('registered', 'VBD'), ('email', 'JJ'), ('address', 'NN'), ('please', 'NN'), ('make', 'VBP'), ('change', 'NN')]",[]
1569,"My credit card ending in 3344 was charged ₹2,000 but I never received a confirmation email.",Billing,Neutral,Medium,16,my credit card ending in was charged but i never received a confirmation email,"['my', 'credit', 'card', 'ending', 'in', 'was', 'charged', 'but', 'i', 'never', 'received', 'a', 'confirmation', 'email']","['credit', 'card', 'ending', 'charged', 'never', 'received', 'confirmation', 'email']","['credit', 'card', 'ending', 'charged', 'never', 'received', 'confirmation', 'email']","[('credit', 'NN'), ('card', 'NN'), ('ending', 'VBG'), ('charged', 'VBN'), ('never', 'RB'), ('received', 'VBN'), ('confirmation', 'NN'), ('email', 'NN')]","[{'text': '3344', 'label': 'DATE'}, {'text': '2,000', 'label': 'MONEY'}]"
1570,"I am extremely disappointed with the quality of service I received from your support team on January 5, 2026.",Complaint,Negative,High,19,i am extremely disappointed with the quality of service i received from your support team on january,"['i', 'am', 'extremely', 'disappointed', 'with', 'the', 'quality', 'of', 'service', 'i', 'received', 'from', 'your', 'support', 'team', 'on', 'january']","['extremely', 'disappointed', 'quality', 'service', 'received', 'support', 'team', 'january']","['extremely', 'disappointed', 'quality', 'service', 'received', 'support', 'team', 'january']","[('extremely', 'RB'), ('disappointed', 'JJ'), ('quality', 'NN'), ('service', 'NN'), ('received', 'VBD'), ('support', 'NN'), ('team', 'NN'), ('january', 'NN')]","[{'text': 'January 5, 2026', 'label': 'DATE'}]"
1571,What are your support hours and what is the average response time for technical issues?,General Inquiry,Positive,Medium,15,what are your support hours and what is the average response time for technical issues,"['what', 'are', 'your', 'support', 'hours', 'and', 'what', 'is', 'the', 'average', 'response', 'time', 'for', 'technical', 'issues']","['support', 'hours', 'average', 'response', 'time', 'technical', 'issues']","['support', 'hour', 'average', 'response', 'time', 'technical', 'issue']","[('support', 'VB'), ('hour', 'NN'), ('average', 'JJ'), ('response', 'NN'), ('time', 'NN'), ('technical', 'JJ'), ('issue', 'NN')]",[]
1572,I need to change my payment method from credit card to bank transfer for future invoices.,Billing,Neutral,Medium,16,i need to change my payment method from credit card to bank transfer for future invoices,"['i', 'need', 'to', 'change', 'my', 'payment', 'method', 'from', 'credit', 'card', 'to', 'bank', 'transfer', 'for', 'future', 'invoices']","['need', 'change', 'payment', 'method', 'credit', 'card', 'bank', 'transfer', 'future', 'invoices']","['need', 'change', 'payment', 'method', 'credit', 'card', 'bank', 'transfer', 'future', 'invoice']","[('need', 'NN'), ('change', 'NN'), ('payment', 'NN'), ('method', 'NN'), ('credit', 'NN'), ('card', 'NN'), ('bank', 'NN'), ('transfer', 'NN'), ('future', 'JJ'), ('invoice', 'NN')]",[]
1573,What is the process for upgrading my current plan from basic to premium? Will I lose any data?,General Inquiry,Positive,Low,18,what is the process for upgrading my current plan from basic to premium will i lose any data,"['what', 'is', 'the', 'process', 'for', 'upgrading', 'my', 'current', 'plan', 'from', 'basic', 'to', 'premium', 'will', 'i', 'lose', 'any', 'data']","['process', 'upgrading', 'current', 'plan', 'basic', 'premium', 'lose', 'data']","['process', 'upgrading', 'current', 'plan', 'basic', 'premium', 'lose', 'data']","[('process', 'NN'), ('upgrading', 'VBG'), ('current', 'JJ'), ('plan', 'NN'), ('basic', 'JJ'), ('premium', 'NN'), ('lose', 'NN'), ('data', 'NNS')]",[]
1574,My profile picture is not updating despite uploading multiple times. The old photo keeps showing.,Account,Negative,Critical,15,my profile picture is not updating despite uploading multiple times the old photo keeps showing,"['my', 'profile', 'picture', 'is', 'not', 'updating', 'despite', 'uploading', 'multiple', 'times', 'the', 'old', 'photo', 'keeps', 'showing']","['profile', 'picture', 'updating', 'despite', 'uploading', 'multiple', 'times', 'old', 'photo', 'keeps', 'showing']","['profile', 'picture', 'updating', 'despite', 'uploading', 'multiple', 'time', 'old', 'photo', 'keep', 'showing']","[('profile', 'JJ'), ('picture', 'NN'), ('updating', 'VBG'), ('despite', 'IN'), ('uploading', 'VBG'), ('multiple', 'JJ'), ('time', 'NN'), ('old', 'JJ'), ('photo', 'NN'), ('keep', 'VB'), ('showing', 'NN')]",[]
1575,I need to merge two accounts that I accidentally created with different email addresses.,Account,Negative,High,14,i need to merge two accounts that i accidentally created with different email addresses,"['i', 'need', 'to', 'merge', 'two', 'accounts', 'that', 'i', 'accidentally', 'created', 'with', 'different', 'email', 'addresses']","['need', 'merge', 'two', 'accounts', 'accidentally', 'created', 'different', 'email', 'addresses']","['need', 'merge', 'two', 'account', 'accidentally', 'created', 'different', 'email', 'address']","[('need', 'MD'), ('merge', 'VB'), ('two', 'CD'), ('account', 'NN'), ('accidentally', 'RB'), ('created', 'VBD'), ('different', 'JJ'), ('email', 'NN'), ('address', 'NN')]","[{'text': 'two', 'label': 'CARDINAL'}]"
1576,"I returned the product on November 20, 2025 and the return was confirmed but the refund has not been processed.",Refund,Negative,High,20,i returned the product on november and the return was confirmed but the refund has not been processed,"['i', 'returned', 'the', 'product', 'on', 'november', 'and', 'the', 'return', 'was', 'confirmed', 'but', 'the', 'refund', 'has', 'not', 'been', 'processed']","['returned', 'product', 'november', 'return', 'confirmed', 'refund', 'processed']","['returned', 'product', 'november', 'return', 'confirmed', 'refund', 'processed']","[('returned', 'VBN'), ('product', 'NN'), ('november', 'JJ'), ('return', 'NN'), ('confirmed', 'VBN'), ('refund', 'NN'), ('processed', 'VBD')]","[{'text': 'November 20, 2025', 'label': 'DATE'}]"
1577,I forgot the answer to my security question and cannot recover my account through the normal process.,Account,Negative,Critical,17,i forgot the answer to my security question and cannot recover my account through the normal process,"['i', 'forgot', 'the', 'answer', 'to', 'my', 'security', 'question', 'and', 'can', 'not', 'recover', 'my', 'account', 'through', 'the', 'normal', 'process']","['forgot', 'answer', 'security', 'question', 'recover', 'account', 'normal', 'process']","['forgot', 'answer', 'security', 'question', 'recover', 'account', 'normal', 'process']","[('forgot', 'NNS'), ('answer', 'VBP'), ('security', 'NN'), ('question', 'NN'), ('recover', 'NN'), ('account', 'NN'), ('normal', 'JJ'), ('process', 'NN')]",[]
1578,Can you explain the difference between your monthly and annual subscription plans?,General Inquiry,Neutral,Medium,12,can you explain the difference between your monthly and annual subscription plans,"['can', 'you', 'explain', 'the', 'difference', 'between', 'your', 'monthly', 'and', 'annual', 'subscription', 'plans']","['explain', 'difference', 'monthly', 'annual', 'subscription', 'plans']","['explain', 'difference', 'monthly', 'annual', 'subscription', 'plan']","[('explain', 'NN'), ('difference', 'NN'), ('monthly', 'JJ'), ('annual', 'JJ'), ('subscription', 'NN'), ('plan', 'NN')]","[{'text': 'monthly', 'label': 'DATE'}, {'text': 'annual', 'label': 'DATE'}]"
1579,The calendar sync with Google Calendar is not reflecting the correct time zone.,Technical,Negative,Critical,13,the calendar sync with google calendar is not reflecting the correct time zone,"['the', 'calendar', 'sync', 'with', 'google', 'calendar', 'is', 'not', 'reflecting', 'the', 'correct', 'time', 'zone']","['calendar', 'sync', 'google', 'calendar', 'reflecting', 'correct', 'time', 'zone']","['calendar', 'sync', 'google', 'calendar', 'reflecting', 'correct', 'time', 'zone']","[('calendar', 'NN'), ('sync', 'NN'), ('google', 'NN'), ('calendar', 'NN'), ('reflecting', 'VBG'), ('correct', 'JJ'), ('time', 'NN'), ('zone', 'NN')]","[{'text': 'Google Calendar', 'label': 'ORG'}]"
1580,"The service was not delivered as promised. I am requesting a partial refund of ₹3,500.",Refund,Negative,Medium,15,the service was not delivered as promised i am requesting a partial refund of,"['the', 'service', 'was', 'not', 'delivered', 'as', 'promised', 'i', 'am', 'requesting', 'a', 'partial', 'refund', 'of']","['service', 'delivered', 'promised', 'requesting', 'partial', 'refund']","['service', 'delivered', 'promised', 'requesting', 'partial', 'refund']","[('service', 'NN'), ('delivered', 'VBD'), ('promised', 'JJ'), ('requesting', 'VBG'), ('partial', 'JJ'), ('refund', 'NN')]","[{'text': '3,500', 'label': 'MONEY'}]"
1581,I cannot access my account after I changed my phone number. The OTP is going to the old number.,Account,Negative,Critical,19,i cannot access my account after i changed my phone number the otp is going to the old number,"['i', 'can', 'not', 'access', 'my', 'account', 'after', 'i', 'changed', 'my', 'phone', 'number', 'the', 'otp', 'is', 'going', 'to', 'the', 'old', 'number']","['access', 'account', 'changed', 'phone', 'number', 'otp', 'going', 'old', 'number']","['access', 'account', 'changed', 'phone', 'number', 'otp', 'going', 'old', 'number']","[('access', 'NN'), ('account', 'NN'), ('changed', 'VBD'), ('phone', 'NN'), ('number', 'NN'), ('otp', 'NN'), ('going', 'VBG'), ('old', 'JJ'), ('number', 'NN')]","[{'text': 'OTP', 'label': 'ORG'}]"
1582,"I am getting error code ERR_500 when trying to log in to the system. This has been happening since January 5, 2026.",Technical,Negative,High,22,i am getting error code err when trying to log in to the system this has been happening since january,"['i', 'am', 'getting', 'error', 'code', 'err', 'when', 'trying', 'to', 'log', 'in', 'to', 'the', 'system', 'this', 'has', 'been', 'happening', 'since', 'january']","['getting', 'error', 'code', 'err', 'trying', 'log', 'system', 'happening', 'since', 'january']","['getting', 'error', 'code', 'err', 'trying', 'log', 'system', 'happening', 'since', 'january']","[('getting', 'VBG'), ('error', 'NN'), ('code', 'NN'), ('err', 'IN'), ('trying', 'VBG'), ('log', 'NN'), ('system', 'NN'), ('happening', 'VBG'), ('since', 'IN'), ('january', 'NN')]","[{'text': 'January 5, 2026', 'label': 'DATE'}]"
1583,The new report generation feature is fantastic but it would be better if we could schedule automated reports.,Feedback,Neutral,Low,18,the new report generation feature is fantastic but it would be better if we could schedule automated reports,"['the', 'new', 'report', 'generation', 'feature', 'is', 'fantastic', 'but', 'it', 'would', 'be', 'better', 'if', 'we', 'could', 'schedule', 'automated', 'reports']","['new', 'report', 'generation', 'feature', 'fantastic', 'would', 'better', 'could', 'schedule', 'automated', 'reports']","['new', 'report', 'generation', 'feature', 'fantastic', 'would', 'better', 'could', 'schedule', 'automated', 'report']","[('new', 'JJ'), ('report', 'NN'), ('generation', 'NN'), ('feature', 'NN'), ('fantastic', 'JJ'), ('would', 'MD'), ('better', 'VB'), ('could', 'MD'), ('schedule', 'VB'), ('automated', 'VBN'), ('report', 'NN')]",[]
1584,My credit card ending in 4242 was charged $49.99 but I never received a confirmation email.,Billing,Negative,High,16,my credit card ending in was charged but i never received a confirmation email,"['my', 'credit', 'card', 'ending', 'in', 'was', 'charged', 'but', 'i', 'never', 'received', 'a', 'confirmation', 'email']","['credit', 'card', 'ending', 'charged', 'never', 'received', 'confirmation', 'email']","['credit', 'card', 'ending', 'charged', 'never', 'received', 'confirmation', 'email']","[('credit', 'NN'), ('card', 'NN'), ('ending', 'VBG'), ('charged', 'VBN'), ('never', 'RB'), ('received', 'VBN'), ('confirmation', 'NN'), ('email', 'NN')]","[{'text': '4242', 'label': 'DATE'}, {'text': '49.99', 'label': 'MONEY'}]"
1585,I am unable to change my username. The option is greyed out in account settings.,Account,Negative,High,15,i am unable to change my username the option is greyed out in account settings,"['i', 'am', 'unable', 'to', 'change', 'my', 'username', 'the', 'option', 'is', 'greyed', 'out', 'in', 'account', 'settings']","['unable', 'change', 'username', 'option', 'greyed', 'account', 'settings']","['unable', 'change', 'username', 'option', 'greyed', 'account', 'setting']","[('unable', 'JJ'), ('change', 'NN'), ('username', 'JJ'), ('option', 'NN'), ('greyed', 'VBD'), ('account', 'NN'), ('setting', 'NN')]",[]
1586,I need to change my payment method from credit card to bank transfer for future invoices.,Billing,Neutral,High,16,i need to change my payment method from credit card to bank transfer for future invoices,"['i', 'need', 'to', 'change', 'my', 'payment', 'method', 'from', 'credit', 'card', 'to', 'bank', 'transfer', 'for', 'future', 'invoices']","['need', 'change', 'payment', 'method', 'credit', 'card', 'bank', 'transfer', 'future', 'invoices']","['need', 'change', 'payment', 'method', 'credit', 'card', 'bank', 'transfer', 'future', 'invoice']","[('need', 'NN'), ('change', 'NN'), ('payment', 'NN'), ('method', 'NN'), ('credit', 'NN'), ('card', 'NN'), ('bank', 'NN'), ('transfer', 'NN'), ('future', 'JJ'), ('invoice', 'NN')]",[]
1587,"I have been charged twice for the same invoice #INV-33045. Please refund the duplicate charge of ₹10,000.",Billing,Neutral,Medium,17,i have been charged twice for the same invoice inv please refund the duplicate charge of,"['i', 'have', 'been', 'charged', 'twice', 'for', 'the', 'same', 'invoice', 'inv', 'please', 'refund', 'the', 'duplicate', 'charge', 'of']","['charged', 'twice', 'invoice', 'inv', 'please', 'refund', 'duplicate', 'charge']","['charged', 'twice', 'invoice', 'inv', 'please', 'refund', 'duplicate', 'charge']","[('charged', 'VBN'), ('twice', 'RB'), ('invoice', 'JJ'), ('inv', 'JJ'), ('please', 'NN'), ('refund', 'NN'), ('duplicate', 'NN'), ('charge', 'NN')]","[{'text': '10,000', 'label': 'MONEY'}]"
1588,The browser extension is conflicting with other extensions and causing my browser to crash.,Technical,Negative,Critical,14,the browser extension is conflicting with other extensions and causing my browser to crash,"['the', 'browser', 'extension', 'is', 'conflicting', 'with', 'other', 'extensions', 'and', 'causing', 'my', 'browser', 'to', 'crash']","['browser', 'extension', 'conflicting', 'extensions', 'causing', 'browser', 'crash']","['browser', 'extension', 'conflicting', 'extension', 'causing', 'browser', 'crash']","[('browser', 'NN'), ('extension', 'NN'), ('conflicting', 'VBG'), ('extension', 'NN'), ('causing', 'VBG'), ('browser', 'NN'), ('crash', 'NN')]",[]
1589,I have been waiting for my refund of $499 for over 10 days. Please expedite the process.,Refund,Negative,High,17,i have been waiting for my refund of for over days please expedite the process,"['i', 'have', 'been', 'waiting', 'for', 'my', 'refund', 'of', 'for', 'over', 'days', 'please', 'expedite', 'the', 'process']","['waiting', 'refund', 'days', 'please', 'expedite', 'process']","['waiting', 'refund', 'day', 'please', 'expedite', 'process']","[('waiting', 'VBG'), ('refund', 'NN'), ('day', 'NN'), ('please', 'VB'), ('expedite', 'JJ'), ('process', 'NN')]","[{'text': '499', 'label': 'MONEY'}, {'text': 'over 10 days', 'label': 'DATE'}]"
1590,What are the data backup and recovery policies for accounts on the premium subscription plan?,General Inquiry,Positive,Medium,15,what are the data backup and recovery policies for accounts on the premium subscription plan,"['what', 'are', 'the', 'data', 'backup', 'and', 'recovery', 'policies', 'for', 'accounts', 'on', 'the', 'premium', 'subscription', 'plan']","['data', 'backup', 'recovery', 'policies', 'accounts', 'premium', 'subscription', 'plan']","['data', 'backup', 'recovery', 'policy', 'account', 'premium', 'subscription', 'plan']","[('data', 'NNS'), ('backup', 'NN'), ('recovery', 'NN'), ('policy', 'NN'), ('account', 'NN'), ('premium', 'JJ'), ('subscription', 'NN'), ('plan', 'NN')]",[]
1591,I have been waiting for a resolution for 14 days and no one has bothered to follow up with me.,Complaint,Negative,Critical,20,i have been waiting for a resolution for days and no one has bothered to follow up with me,"['i', 'have', 'been', 'waiting', 'for', 'a', 'resolution', 'for', 'days', 'and', 'no', 'one', 'has', 'bothered', 'to', 'follow', 'up', 'with', 'me']","['waiting', 'resolution', 'days', 'one', 'bothered', 'follow']","['waiting', 'resolution', 'day', 'one', 'bothered', 'follow']","[('waiting', 'VBG'), ('resolution', 'NN'), ('day', 'NN'), ('one', 'CD'), ('bothered', 'VBN'), ('follow', 'NN')]","[{'text': '14 days', 'label': 'DATE'}]"
1592,The dashboard is not loading properly on Internet Explorer 11. Graphs are not displaying.,Technical,Negative,High,14,the dashboard is not loading properly on internet explorer graphs are not displaying,"['the', 'dashboard', 'is', 'not', 'loading', 'properly', 'on', 'internet', 'explorer', 'graphs', 'are', 'not', 'displaying']","['dashboard', 'loading', 'properly', 'internet', 'explorer', 'graphs', 'displaying']","['dashboard', 'loading', 'properly', 'internet', 'explorer', 'graph', 'displaying']","[('dashboard', 'RB'), ('loading', 'VBG'), ('properly', 'RB'), ('internet', 'JJ'), ('explorer', 'NN'), ('graph', 'NN'), ('displaying', 'VBG')]",[]
1593,My account shows incorrect subscription status. It shows free plan but I am on the premium plan.,Account,Neutral,High,17,my account shows incorrect subscription status it shows free plan but i am on the premium plan,"['my', 'account', 'shows', 'incorrect', 'subscription', 'status', 'it', 'shows', 'free', 'plan', 'but', 'i', 'am', 'on', 'the', 'premium', 'plan']","['account', 'shows', 'incorrect', 'subscription', 'status', 'shows', 'free', 'plan', 'premium', 'plan']","['account', 'show', 'incorrect', 'subscription', 'status', 'show', 'free', 'plan', 'premium', 'plan']","[('account', 'NN'), ('show', 'NN'), ('incorrect', 'JJ'), ('subscription', 'NN'), ('status', 'NN'), ('show', 'VBP'), ('free', 'JJ'), ('plan', 'NN'), ('premium', 'NN'), ('plan', 'NN')]",[]
1594,I was charged a late fee of ₹999 even though my payment was submitted on time. Please waive this fee.,Billing,Neutral,Medium,20,i was charged a late fee of even though my payment was submitted on time please waive this fee,"['i', 'was', 'charged', 'a', 'late', 'fee', 'of', 'even', 'though', 'my', 'payment', 'was', 'submitted', 'on', 'time', 'please', 'waive', 'this', 'fee']","['charged', 'late', 'fee', 'even', 'though', 'payment', 'submitted', 'time', 'please', 'waive', 'fee']","['charged', 'late', 'fee', 'even', 'though', 'payment', 'submitted', 'time', 'please', 'waive', 'fee']","[('charged', 'VBN'), ('late', 'JJ'), ('fee', 'NN'), ('even', 'RB'), ('though', 'IN'), ('payment', 'NN'), ('submitted', 'VBN'), ('time', 'NN'), ('please', 'NN'), ('waive', 'JJ'), ('fee', 'NN')]","[{'text': '999', 'label': 'MONEY'}]"
1595,What is the process for requesting a custom feature or reporting a product bug to your team?,General Inquiry,Neutral,Low,17,what is the process for requesting a custom feature or reporting a product bug to your team,"['what', 'is', 'the', 'process', 'for', 'requesting', 'a', 'custom', 'feature', 'or', 'reporting', 'a', 'product', 'bug', 'to', 'your', 'team']","['process', 'requesting', 'custom', 'feature', 'reporting', 'product', 'bug', 'team']","['process', 'requesting', 'custom', 'feature', 'reporting', 'product', 'bug', 'team']","[('process', 'NN'), ('requesting', 'VBG'), ('custom', 'JJ'), ('feature', 'NN'), ('reporting', 'VBG'), ('product', 'NN'), ('bug', 'NN'), ('team', 'NN')]",[]
1596,The integration with third-party tools like Slack would make your product much more useful for teams.,Feedback,Neutral,Low,16,the integration with third party tools like slack would make your product much more useful for teams,"['the', 'integration', 'with', 'third', 'party', 'tools', 'like', 'slack', 'would', 'make', 'your', 'product', 'much', 'more', 'useful', 'for', 'teams']","['integration', 'third', 'party', 'tools', 'like', 'slack', 'would', 'make', 'product', 'much', 'useful', 'teams']","['integration', 'third', 'party', 'tool', 'like', 'slack', 'would', 'make', 'product', 'much', 'useful', 'team']","[('integration', 'NN'), ('third', 'JJ'), ('party', 'NN'), ('tool', 'NN'), ('like', 'IN'), ('slack', 'NN'), ('would', 'MD'), ('make', 'VB'), ('product', 'NN'), ('much', 'JJ'), ('useful', 'JJ'), ('team', 'NN')]","[{'text': 'third', 'label': 'ORDINAL'}, {'text': 'Slack', 'label': 'ORG'}]"
1597,I would like to suggest adding a dark mode option to your application for better user experience.,Feedback,Negative,Low,17,i would like to suggest adding a dark mode option to your application for better user experience,"['i', 'would', 'like', 'to', 'suggest', 'adding', 'a', 'dark', 'mode', 'option', 'to', 'your', 'application', 'for', 'better', 'user', 'experience']","['would', 'like', 'suggest', 'adding', 'dark', 'mode', 'option', 'application', 'better', 'user', 'experience']","['would', 'like', 'suggest', 'adding', 'dark', 'mode', 'option', 'application', 'better', 'user', 'experience']","[('would', 'MD'), ('like', 'VB'), ('suggest', 'JJS'), ('adding', 'VBG'), ('dark', 'JJ'), ('mode', 'NN'), ('option', 'NN'), ('application', 'NN'), ('better', 'RBR'), ('user', 'NN'), ('experience', 'NN')]",[]
1598,Do you offer any discounts for educational institutions or non-profit organizations?,General Inquiry,Neutral,Low,11,do you offer any discounts for educational institutions or non profit organizations,"['do', 'you', 'offer', 'any', 'discounts', 'for', 'educational', 'institutions', 'or', 'non', 'profit', 'organizations']","['offer', 'discounts', 'educational', 'institutions', 'non', 'profit', 'organizations']","['offer', 'discount', 'educational', 'institution', 'non', 'profit', 'organization']","[('offer', 'NN'), ('discount', 'NN'), ('educational', 'JJ'), ('institution', 'NN'), ('non', 'NN'), ('profit', 'NN'), ('organization', 'NN')]",[]
1599,I have been trying to verify my email for 30 days but the verification email never arrives.,Account,Neutral,Critical,17,i have been trying to verify my email for days but the verification email never arrives,"['i', 'have', 'been', 'trying', 'to', 'verify', 'my', 'email', 'for', 'days', 'but', 'the', 'verification', 'email', 'never', 'arrives']","['trying', 'verify', 'email', 'days', 'verification', 'email', 'never', 'arrives']","['trying', 'verify', 'email', 'day', 'verification', 'email', 'never', 'arrives']","[('trying', 'VBG'), ('verify', 'JJ'), ('email', 'JJ'), ('day', 'NN'), ('verification', 'NN'), ('email', 'NN'), ('never', 'RB'), ('arrives', 'VBZ')]","[{'text': '30 days', 'label': 'DATE'}]"
1600,The new user interface update is confusing and not user-friendly. Please consider reverting to the old design.,Feedback,Negative,Medium,17,the new user interface update is confusing and not user friendly please consider reverting to the old design,"['the', 'new', 'user', 'interface', 'update', 'is', 'confusing', 'and', 'not', 'user', 'friendly', 'please', 'consider', 'reverting', 'to', 'the', 'old', 'design']","['new', 'user', 'interface', 'update', 'confusing', 'user', 'friendly', 'please', 'consider', 'reverting', 'old', 'design']","['new', 'user', 'interface', 'update', 'confusing', 'user', 'friendly', 'please', 'consider', 'reverting', 'old', 'design']","[('new', 'JJ'), ('user', 'JJ'), ('interface', 'NN'), ('update', 'JJ'), ('confusing', 'VBG'), ('user', 'NN'), ('friendly', 'JJ'), ('please', 'NN'), ('consider', 'VB'), ('reverting', 'VBG'), ('old', 'JJ'), ('design', 'NN')]",[]
1601,"The billing amount of ₹7,200 does not match the quoted price of $39.99. Please clarify the difference.",Billing,Negative,Medium,17,the billing amount of does not match the quoted price of please clarify the difference,"['the', 'billing', 'amount', 'of', 'does', 'not', 'match', 'the', 'quoted', 'price', 'of', 'please', 'clarify', 'the', 'difference']","['billing', 'amount', 'match', 'quoted', 'price', 'please', 'clarify', 'difference']","['billing', 'amount', 'match', 'quoted', 'price', 'please', 'clarify', 'difference']","[('billing', 'NN'), ('amount', 'NN'), ('match', 'NN'), ('quoted', 'VBN'), ('price', 'NN'), ('please', 'NN'), ('clarify', 'VB'), ('difference', 'NN')]","[{'text': '7,200', 'label': 'MONEY'}, {'text': '39.99', 'label': 'MONEY'}]"
1602,The response time of your support team has improved considerably over the last few months. Well done.,Feedback,Positive,Low,17,the response time of your support team has improved considerably over the last few months well done,"['the', 'response', 'time', 'of', 'your', 'support', 'team', 'has', 'improved', 'considerably', 'over', 'the', 'last', 'few', 'months', 'well', 'done']","['response', 'time', 'support', 'team', 'improved', 'considerably', 'last', 'months', 'well', 'done']","['response', 'time', 'support', 'team', 'improved', 'considerably', 'last', 'month', 'well', 'done']","[('response', 'NN'), ('time', 'NN'), ('support', 'NN'), ('team', 'NN'), ('improved', 'VBD'), ('considerably', 'RB'), ('last', 'JJ'), ('month', 'NN'), ('well', 'RB'), ('done', 'VBN')]","[{'text': 'the last few months', 'label': 'DATE'}]"
1603,Please add multi-language support to your platform. Many of my team members prefer their native language.,Feedback,Positive,Medium,16,please add multi language support to your platform many of my team members prefer their native language,"['please', 'add', 'multi', 'language', 'support', 'to', 'your', 'platform', 'many', 'of', 'my', 'team', 'members', 'prefer', 'their', 'native', 'language']","['please', 'add', 'multi', 'language', 'support', 'platform', 'many', 'team', 'members', 'prefer', 'native', 'language']","['please', 'add', 'multi', 'language', 'support', 'platform', 'many', 'team', 'member', 'prefer', 'native', 'language']","[('please', 'VB'), ('add', 'VB'), ('multi', 'JJ'), ('language', 'NN'), ('support', 'NN'), ('platform', 'VBD'), ('many', 'JJ'), ('team', 'NN'), ('member', 'NN'), ('prefer', 'VBP'), ('native', 'JJ'), ('language', 'NN')]",[]
1604,The product arrived damaged and I sent it back. My refund of ₹999 has not been initiated yet.,Refund,Negative,Medium,18,the product arrived damaged and i sent it back my refund of has not been initiated yet,"['the', 'product', 'arrived', 'damaged', 'and', 'i', 'sent', 'it', 'back', 'my', 'refund', 'of', 'has', 'not', 'been', 'initiated', 'yet']","['product', 'arrived', 'damaged', 'sent', 'back', 'refund', 'initiated', 'yet']","['product', 'arrived', 'damaged', 'sent', 'back', 'refund', 'initiated', 'yet']","[('product', 'NN'), ('arrived', 'VBD'), ('damaged', 'VBN'), ('sent', 'NN'), ('back', 'RB'), ('refund', 'NN'), ('initiated', 'VBD'), ('yet', 'RB')]","[{'text': '999', 'label': 'MONEY'}]"
1605,Push notifications stopped working on my iPhone after updating to iOS 16.,Technical,Neutral,Critical,12,push notifications stopped working on my iphone after updating to ios,"['push', 'notifications', 'stopped', 'working', 'on', 'my', 'iphone', 'after', 'updating', 'to', 'ios']","['push', 'notifications', 'stopped', 'working', 'iphone', 'updating', 'ios']","['push', 'notification', 'stopped', 'working', 'iphone', 'updating', 'io']","[('push', 'NN'), ('notification', 'NN'), ('stopped', 'VBD'), ('working', 'VBG'), ('iphone', 'NN'), ('updating', 'VBG'), ('io', 'NN')]","[{'text': '16', 'label': 'CARDINAL'}]"
1606,The service was not delivered as promised. I am requesting a partial refund of $99.,Refund,Negative,Medium,15,the service was not delivered as promised i am requesting a partial refund of,"['the', 'service', 'was', 'not', 'delivered', 'as', 'promised', 'i', 'am', 'requesting', 'a', 'partial', 'refund', 'of']","['service', 'delivered', 'promised', 'requesting', 'partial', 'refund']","['service', 'delivered', 'promised', 'requesting', 'partial', 'refund']","[('service', 'NN'), ('delivered', 'VBD'), ('promised', 'JJ'), ('requesting', 'VBG'), ('partial', 'JJ'), ('refund', 'NN')]","[{'text': '99', 'label': 'MONEY'}]"
