id,email_text,category,sentiment,priority,email_length,clean_text,tokens,tokens_no_stopwords,lemmatized_tokens
903,The new report generation feature is fantastic but it would be better if we could schedule automated reports.,Feedback,Positive,Low,18,the new report generation feature is fantastic but it would be better if we could schedule automated reports,"['the', 'new', 'report', 'generation', 'feature', 'is', 'fantastic', 'but', 'it', 'would', 'be', 'better', 'if', 'we', 'could', 'schedule', 'automated', 'reports']","['new', 'report', 'generation', 'feature', 'fantastic', 'would', 'better', 'could', 'schedule', 'automated', 'reports']","['new', 'report', 'generation', 'feature', 'fantastic', 'would', 'better', 'could', 'schedule', 'automated', 'report']"
904,I feel cheated by your company. The subscription auto-renewed without my consent or any prior notification.,Complaint,Negative,Critical,16,i feel cheated by your company the subscription auto renewed without my consent or any prior notification,"['i', 'feel', 'cheated', 'by', 'your', 'company', 'the', 'subscription', 'auto', 'renewed', 'without', 'my', 'consent', 'or', 'any', 'prior', 'notification']","['feel', 'cheated', 'company', 'subscription', 'auto', 'renewed', 'without', 'consent', 'prior', 'notification']","['feel', 'cheated', 'company', 'subscription', 'auto', 'renewed', 'without', 'consent', 'prior', 'notification']"
905,What security measures does your company take to protect customer data and prevent unauthorized access?,General Inquiry,Positive,Low,15,what security measures does your company take to protect customer data and prevent unauthorized access,"['what', 'security', 'measures', 'does', 'your', 'company', 'take', 'to', 'protect', 'customer', 'data', 'and', 'prevent', 'unauthorized', 'access']","['security', 'measures', 'company', 'take', 'protect', 'customer', 'data', 'prevent', 'unauthorized', 'access']","['security', 'measure', 'company', 'take', 'protect', 'customer', 'data', 'prevent', 'unauthorized', 'access']"
906,I cannot access my account after I changed my phone number. The OTP is going to the old number.,Account,Negative,High,19,i cannot access my account after i changed my phone number the otp is going to the old number,"['i', 'can', 'not', 'access', 'my', 'account', 'after', 'i', 'changed', 'my', 'phone', 'number', 'the', 'otp', 'is', 'going', 'to', 'the', 'old', 'number']","['access', 'account', 'changed', 'phone', 'number', 'otp', 'going', 'old', 'number']","['access', 'account', 'changed', 'phone', 'number', 'otp', 'going', 'old', 'number']"
907,"The customer support representative was very rude and unhelpful during my call on January 5, 2026. I need this escalated.",Complaint,Negative,High,20,the customer support representative was very rude and unhelpful during my call on january i need this escalated,"['the', 'customer', 'support', 'representative', 'was', 'very', 'rude', 'and', 'unhelpful', 'during', 'my', 'call', 'on', 'january', 'i', 'need', 'this', 'escalated']","['customer', 'support', 'representative', 'rude', 'unhelpful', 'call', 'january', 'need', 'escalated']","['customer', 'support', 'representative', 'rude', 'unhelpful', 'call', 'january', 'need', 'escalated']"
908,I need to update my registered email address from customer@outlook.com to updated@yahoo.com. Please make this change.,Account,Negative,Critical,16,i need to update my registered email address from to please make this change,"['i', 'need', 'to', 'update', 'my', 'registered', 'email', 'address', 'from', 'to', 'please', 'make', 'this', 'change']","['need', 'update', 'registered', 'email', 'address', 'please', 'make', 'change']","['need', 'update', 'registered', 'email', 'address', 'please', 'make', 'change']"
909,My hotel booking was cancelled due to unavailability but my refund of $299 has not arrived.,Refund,Neutral,High,16,my hotel booking was cancelled due to unavailability but my refund of has not arrived,"['my', 'hotel', 'booking', 'was', 'cancelled', 'due', 'to', 'unavailability', 'but', 'my', 'refund', 'of', 'has', 'not', 'arrived']","['hotel', 'booking', 'cancelled', 'due', 'unavailability', 'refund', 'arrived']","['hotel', 'booking', 'cancelled', 'due', 'unavailability', 'refund', 'arrived']"
910,What is the process for requesting a custom feature or reporting a product bug to your team?,General Inquiry,Positive,Low,17,what is the process for requesting a custom feature or reporting a product bug to your team,"['what', 'is', 'the', 'process', 'for', 'requesting', 'a', 'custom', 'feature', 'or', 'reporting', 'a', 'product', 'bug', 'to', 'your', 'team']","['process', 'requesting', 'custom', 'feature', 'reporting', 'product', 'bug', 'team']","['process', 'requesting', 'custom', 'feature', 'reporting', 'product', 'bug', 'team']"
911,I am filing a formal complaint about the misleading information provided on your website regarding pricing.,Complaint,Negative,High,16,i am filing a formal complaint about the misleading information provided on your website regarding pricing,"['i', 'am', 'filing', 'a', 'formal', 'complaint', 'about', 'the', 'misleading', 'information', 'provided', 'on', 'your', 'website', 'regarding', 'pricing']","['filing', 'formal', 'complaint', 'misleading', 'information', 'provided', 'website', 'regarding', 'pricing']","['filing', 'formal', 'complaint', 'misleading', 'information', 'provided', 'website', 'regarding', 'pricing']"
912,"I was charged a late fee of ₹5,000 even though my payment was submitted on time. Please waive this fee.",Billing,Neutral,Medium,20,i was charged a late fee of even though my payment was submitted on time please waive this fee,"['i', 'was', 'charged', 'a', 'late', 'fee', 'of', 'even', 'though', 'my', 'payment', 'was', 'submitted', 'on', 'time', 'please', 'waive', 'this', 'fee']","['charged', 'late', 'fee', 'even', 'though', 'payment', 'submitted', 'time', 'please', 'waive', 'fee']","['charged', 'late', 'fee', 'even', 'though', 'payment', 'submitted', 'time', 'please', 'waive', 'fee']"
913,"The EMI deduction of ₹2,000 failed this month. Please help me complete the payment.",Billing,Negative,Medium,14,the emi deduction of failed this month please help me complete the payment,"['the', 'emi', 'deduction', 'of', 'failed', 'this', 'month', 'please', 'help', 'me', 'complete', 'the', 'payment']","['emi', 'deduction', 'failed', 'month', 'please', 'help', 'complete', 'payment']","['emi', 'deduction', 'failed', 'month', 'please', 'help', 'complete', 'payment']"
914,Your API is returning a 500 internal server error when I make a POST request to /api/v1/payments.,Technical,Neutral,Critical,17,your api is returning a internal server error when i make a post request to api v payments,"['your', 'api', 'is', 'returning', 'a', 'internal', 'server', 'error', 'when', 'i', 'make', 'a', 'post', 'request', 'to', 'api', 'v', 'payments']","['api', 'returning', 'internal', 'server', 'error', 'make', 'post', 'request', 'api', 'v', 'payments']","['api', 'returning', 'internal', 'server', 'error', 'make', 'post', 'request', 'api', 'v', 'payment']"
915,My account has been locked after multiple failed login attempts. Please unlock it immediately.,Account,Neutral,Critical,14,my account has been locked after multiple failed login attempts please unlock it immediately,"['my', 'account', 'has', 'been', 'locked', 'after', 'multiple', 'failed', 'login', 'attempts', 'please', 'unlock', 'it', 'immediately']","['account', 'locked', 'multiple', 'failed', 'login', 'attempts', 'please', 'unlock', 'immediately']","['account', 'locked', 'multiple', 'failed', 'login', 'attempt', 'please', 'unlock', 'immediately']"
916,The mobile app is draining my battery too fast. It consumes 20% battery in just 6 hours.,Technical,Neutral,Critical,17,the mobile app is draining my battery too fast it consumes battery in just hours,"['the', 'mobile', 'app', 'is', 'draining', 'my', 'battery', 'too', 'fast', 'it', 'consumes', 'battery', 'in', 'just', 'hours']","['mobile', 'app', 'draining', 'battery', 'fast', 'consumes', 'battery', 'hours']","['mobile', 'app', 'draining', 'battery', 'fast', 'consumes', 'battery', 'hour']"
917,Your product has significantly improved my productivity. I would love to see dark mode added in the future.,Feedback,Positive,Medium,18,your product has significantly improved my productivity i would love to see dark mode added in the future,"['your', 'product', 'has', 'significantly', 'improved', 'my', 'productivity', 'i', 'would', 'love', 'to', 'see', 'dark', 'mode', 'added', 'in', 'the', 'future']","['product', 'significantly', 'improved', 'productivity', 'would', 'love', 'see', 'dark', 'mode', 'added', 'future']","['product', 'significantly', 'improved', 'productivity', 'would', 'love', 'see', 'dark', 'mode', 'added', 'future']"
918,Can I add additional users to my account? What are the costs per additional user seat?,General Inquiry,Positive,Low,16,can i add additional users to my account what are the costs per additional user seat,"['can', 'i', 'add', 'additional', 'users', 'to', 'my', 'account', 'what', 'are', 'the', 'costs', 'per', 'additional', 'user', 'seat']","['add', 'additional', 'users', 'account', 'costs', 'per', 'additional', 'user', 'seat']","['add', 'additional', 'user', 'account', 'cost', 'per', 'additional', 'user', 'seat']"
919,I am considering switching from my current provider. Can you help me understand the migration process?,General Inquiry,Neutral,Medium,16,i am considering switching from my current provider can you help me understand the migration process,"['i', 'am', 'considering', 'switching', 'from', 'my', 'current', 'provider', 'can', 'you', 'help', 'me', 'understand', 'the', 'migration', 'process']","['considering', 'switching', 'current', 'provider', 'help', 'understand', 'migration', 'process']","['considering', 'switching', 'current', 'provider', 'help', 'understand', 'migration', 'process']"
920,The response time of your support team has improved considerably over the last few months. Well done.,Feedback,Negative,Low,17,the response time of your support team has improved considerably over the last few months well done,"['the', 'response', 'time', 'of', 'your', 'support', 'team', 'has', 'improved', 'considerably', 'over', 'the', 'last', 'few', 'months', 'well', 'done']","['response', 'time', 'support', 'team', 'improved', 'considerably', 'last', 'months', 'well', 'done']","['response', 'time', 'support', 'team', 'improved', 'considerably', 'last', 'month', 'well', 'done']"
921,I am unable to download my invoice for the month of June. The download button is not working.,Billing,Neutral,High,18,i am unable to download my invoice for the month of june the download button is not working,"['i', 'am', 'unable', 'to', 'download', 'my', 'invoice', 'for', 'the', 'month', 'of', 'june', 'the', 'download', 'button', 'is', 'not', 'working']","['unable', 'download', 'invoice', 'month', 'june', 'download', 'button', 'working']","['unable', 'download', 'invoice', 'month', 'june', 'download', 'button', 'working']"
922,Please deactivate my account as I no longer wish to use your services. Delete all my personal data.,Account,Negative,Critical,18,please deactivate my account as i no longer wish to use your services delete all my personal data,"['please', 'deactivate', 'my', 'account', 'as', 'i', 'no', 'longer', 'wish', 'to', 'use', 'your', 'services', 'delete', 'all', 'my', 'personal', 'data']","['please', 'deactivate', 'account', 'longer', 'wish', 'use', 'services', 'delete', 'personal', 'data']","['please', 'deactivate', 'account', 'longer', 'wish', 'use', 'service', 'delete', 'personal', 'data']"
923,Your chatbot is useless and keeps giving me irrelevant answers. I need to speak to a human agent.,Complaint,Negative,Critical,18,your chatbot is useless and keeps giving me irrelevant answers i need to speak to a human agent,"['your', 'chatbot', 'is', 'useless', 'and', 'keeps', 'giving', 'me', 'irrelevant', 'answers', 'i', 'need', 'to', 'speak', 'to', 'a', 'human', 'agent']","['chatbot', 'useless', 'keeps', 'giving', 'irrelevant', 'answers', 'need', 'speak', 'human', 'agent']","['chatbot', 'useless', 'keep', 'giving', 'irrelevant', 'answer', 'need', 'speak', 'human', 'agent']"
924,I need to update my registered email address from myemail@hotmail.com to newemail@gmail.com. Please make this change.,Account,Negative,High,16,i need to update my registered email address from to please make this change,"['i', 'need', 'to', 'update', 'my', 'registered', 'email', 'address', 'from', 'to', 'please', 'make', 'this', 'change']","['need', 'update', 'registered', 'email', 'address', 'please', 'make', 'change']","['need', 'update', 'registered', 'email', 'address', 'please', 'make', 'change']"
925,I accidentally deleted important files from my account. Is there any way to recover them?,Account,Negative,Critical,15,i accidentally deleted important files from my account is there any way to recover them,"['i', 'accidentally', 'deleted', 'important', 'files', 'from', 'my', 'account', 'is', 'there', 'any', 'way', 'to', 'recover', 'them']","['accidentally', 'deleted', 'important', 'files', 'account', 'way', 'recover']","['accidentally', 'deleted', 'important', 'file', 'account', 'way', 'recover']"
926,The customer portal is very well designed and easy to navigate. My overall experience has been excellent.,Feedback,Negative,Low,17,the customer portal is very well designed and easy to navigate my overall experience has been excellent,"['the', 'customer', 'portal', 'is', 'very', 'well', 'designed', 'and', 'easy', 'to', 'navigate', 'my', 'overall', 'experience', 'has', 'been', 'excellent']","['customer', 'portal', 'well', 'designed', 'easy', 'navigate', 'overall', 'experience', 'excellent']","['customer', 'portal', 'well', 'designed', 'easy', 'navigate', 'overall', 'experience', 'excellent']"
927,The onboarding process is too complicated for new users. A guided tutorial would be very helpful.,Feedback,Positive,Medium,16,the onboarding process is too complicated for new users a guided tutorial would be very helpful,"['the', 'onboarding', 'process', 'is', 'too', 'complicated', 'for', 'new', 'users', 'a', 'guided', 'tutorial', 'would', 'be', 'very', 'helpful']","['onboarding', 'process', 'complicated', 'new', 'users', 'guided', 'tutorial', 'would', 'helpful']","['onboarding', 'process', 'complicated', 'new', 'user', 'guided', 'tutorial', 'would', 'helpful']"
928,My payment of $299 was deducted but the order was not confirmed. Please check and resolve this issue.,Billing,Neutral,High,18,my payment of was deducted but the order was not confirmed please check and resolve this issue,"['my', 'payment', 'of', 'was', 'deducted', 'but', 'the', 'order', 'was', 'not', 'confirmed', 'please', 'check', 'and', 'resolve', 'this', 'issue']","['payment', 'deducted', 'order', 'confirmed', 'please', 'check', 'resolve', 'issue']","['payment', 'deducted', 'order', 'confirmed', 'please', 'check', 'resolve', 'issue']"
929,The EMI deduction of $49.99 failed this month. Please help me complete the payment.,Billing,Negative,Medium,14,the emi deduction of failed this month please help me complete the payment,"['the', 'emi', 'deduction', 'of', 'failed', 'this', 'month', 'please', 'help', 'me', 'complete', 'the', 'payment']","['emi', 'deduction', 'failed', 'month', 'please', 'help', 'complete', 'payment']","['emi', 'deduction', 'failed', 'month', 'please', 'help', 'complete', 'payment']"
930,The new user interface update is confusing and not user-friendly. Please consider reverting to the old design.,Feedback,Negative,Medium,17,the new user interface update is confusing and not user friendly please consider reverting to the old design,"['the', 'new', 'user', 'interface', 'update', 'is', 'confusing', 'and', 'not', 'user', 'friendly', 'please', 'consider', 'reverting', 'to', 'the', 'old', 'design']","['new', 'user', 'interface', 'update', 'confusing', 'user', 'friendly', 'please', 'consider', 'reverting', 'old', 'design']","['new', 'user', 'interface', 'update', 'confusing', 'user', 'friendly', 'please', 'consider', 'reverting', 'old', 'design']"
931,Please deactivate my account as I no longer wish to use your services. Delete all my personal data.,Account,Neutral,High,18,please deactivate my account as i no longer wish to use your services delete all my personal data,"['please', 'deactivate', 'my', 'account', 'as', 'i', 'no', 'longer', 'wish', 'to', 'use', 'your', 'services', 'delete', 'all', 'my', 'personal', 'data']","['please', 'deactivate', 'account', 'longer', 'wish', 'use', 'services', 'delete', 'personal', 'data']","['please', 'deactivate', 'account', 'longer', 'wish', 'use', 'service', 'delete', 'personal', 'data']"
932,"The billing amount of ₹499 does not match the quoted price of ₹1,299. Please clarify the difference.",Billing,Neutral,High,17,the billing amount of does not match the quoted price of please clarify the difference,"['the', 'billing', 'amount', 'of', 'does', 'not', 'match', 'the', 'quoted', 'price', 'of', 'please', 'clarify', 'the', 'difference']","['billing', 'amount', 'match', 'quoted', 'price', 'please', 'clarify', 'difference']","['billing', 'amount', 'match', 'quoted', 'price', 'please', 'clarify', 'difference']"
933,"I want to request a full refund for my order #ORD-45612 placed on February 12, 2026. The product was defective.",Refund,Negative,Medium,20,i want to request a full refund for my order ord placed on february the product was defective,"['i', 'want', 'to', 'request', 'a', 'full', 'refund', 'for', 'my', 'order', 'ord', 'placed', 'on', 'february', 'the', 'product', 'was', 'defective']","['want', 'request', 'full', 'refund', 'order', 'ord', 'placed', 'february', 'product', 'defective']","['want', 'request', 'full', 'refund', 'order', 'ord', 'placed', 'february', 'product', 'defective']"
934,"I have been waiting for my refund of ₹2,000 for over 30 days. Please expedite the process.",Refund,Negative,High,17,i have been waiting for my refund of for over days please expedite the process,"['i', 'have', 'been', 'waiting', 'for', 'my', 'refund', 'of', 'for', 'over', 'days', 'please', 'expedite', 'the', 'process']","['waiting', 'refund', 'days', 'please', 'expedite', 'process']","['waiting', 'refund', 'day', 'please', 'expedite', 'process']"
935,Can I add additional users to my account? What are the costs per additional user seat?,General Inquiry,Positive,Low,16,can i add additional users to my account what are the costs per additional user seat,"['can', 'i', 'add', 'additional', 'users', 'to', 'my', 'account', 'what', 'are', 'the', 'costs', 'per', 'additional', 'user', 'seat']","['add', 'additional', 'users', 'account', 'costs', 'per', 'additional', 'user', 'seat']","['add', 'additional', 'user', 'account', 'cost', 'per', 'additional', 'user', 'seat']"
936,What is the process for upgrading my current plan from basic to premium? Will I lose any data?,General Inquiry,Positive,Low,18,what is the process for upgrading my current plan from basic to premium will i lose any data,"['what', 'is', 'the', 'process', 'for', 'upgrading', 'my', 'current', 'plan', 'from', 'basic', 'to', 'premium', 'will', 'i', 'lose', 'any', 'data']","['process', 'upgrading', 'current', 'plan', 'basic', 'premium', 'lose', 'data']","['process', 'upgrading', 'current', 'plan', 'basic', 'premium', 'lose', 'data']"
937,"I returned the product on November 20, 2025 and the return was confirmed but the refund has not been processed.",Refund,Negative,High,20,i returned the product on november and the return was confirmed but the refund has not been processed,"['i', 'returned', 'the', 'product', 'on', 'november', 'and', 'the', 'return', 'was', 'confirmed', 'but', 'the', 'refund', 'has', 'not', 'been', 'processed']","['returned', 'product', 'november', 'return', 'confirmed', 'refund', 'processed']","['returned', 'product', 'november', 'return', 'confirmed', 'refund', 'processed']"
938,I would like to suggest adding a dark mode option to your application for better user experience.,Feedback,Positive,Low,17,i would like to suggest adding a dark mode option to your application for better user experience,"['i', 'would', 'like', 'to', 'suggest', 'adding', 'a', 'dark', 'mode', 'option', 'to', 'your', 'application', 'for', 'better', 'user', 'experience']","['would', 'like', 'suggest', 'adding', 'dark', 'mode', 'option', 'application', 'better', 'user', 'experience']","['would', 'like', 'suggest', 'adding', 'dark', 'mode', 'option', 'application', 'better', 'user', 'experience']"
939,The two-factor authentication code is not being delivered to my phone number +1-555-0123.,Technical,Negative,Critical,13,the two factor authentication code is not being delivered to my phone number,"['the', 'two', 'factor', 'authentication', 'code', 'is', 'not', 'being', 'delivered', 'to', 'my', 'phone', 'number']","['two', 'factor', 'authentication', 'code', 'delivered', 'phone', 'number']","['two', 'factor', 'authentication', 'code', 'delivered', 'phone', 'number']"
940,I am unable to change my username. The option is greyed out in account settings.,Account,Neutral,Critical,15,i am unable to change my username the option is greyed out in account settings,"['i', 'am', 'unable', 'to', 'change', 'my', 'username', 'the', 'option', 'is', 'greyed', 'out', 'in', 'account', 'settings']","['unable', 'change', 'username', 'option', 'greyed', 'account', 'settings']","['unable', 'change', 'username', 'option', 'greyed', 'account', 'setting']"
941,The mobile app is draining my battery too fast. It consumes 20% battery in just 48 hours.,Technical,Negative,High,17,the mobile app is draining my battery too fast it consumes battery in just hours,"['the', 'mobile', 'app', 'is', 'draining', 'my', 'battery', 'too', 'fast', 'it', 'consumes', 'battery', 'in', 'just', 'hours']","['mobile', 'app', 'draining', 'battery', 'fast', 'consumes', 'battery', 'hours']","['mobile', 'app', 'draining', 'battery', 'fast', 'consumes', 'battery', 'hour']"
942,"I want to request a full refund for my order #ORD-66123 placed on January 5, 2026. The product was defective.",Refund,Negative,High,20,i want to request a full refund for my order ord placed on january the product was defective,"['i', 'want', 'to', 'request', 'a', 'full', 'refund', 'for', 'my', 'order', 'ord', 'placed', 'on', 'january', 'the', 'product', 'was', 'defective']","['want', 'request', 'full', 'refund', 'order', 'ord', 'placed', 'january', 'product', 'defective']","['want', 'request', 'full', 'refund', 'order', 'ord', 'placed', 'january', 'product', 'defective']"
943,Can I add additional users to my account? What are the costs per additional user seat?,General Inquiry,Neutral,Low,16,can i add additional users to my account what are the costs per additional user seat,"['can', 'i', 'add', 'additional', 'users', 'to', 'my', 'account', 'what', 'are', 'the', 'costs', 'per', 'additional', 'user', 'seat']","['add', 'additional', 'users', 'account', 'costs', 'per', 'additional', 'user', 'seat']","['add', 'additional', 'user', 'account', 'cost', 'per', 'additional', 'user', 'seat']"
944,My flight was cancelled by the airline and I am requesting a full refund of $49.99 for my booking.,Refund,Neutral,Medium,19,my flight was cancelled by the airline and i am requesting a full refund of for my booking,"['my', 'flight', 'was', 'cancelled', 'by', 'the', 'airline', 'and', 'i', 'am', 'requesting', 'a', 'full', 'refund', 'of', 'for', 'my', 'booking']","['flight', 'cancelled', 'airline', 'requesting', 'full', 'refund', 'booking']","['flight', 'cancelled', 'airline', 'requesting', 'full', 'refund', 'booking']"
945,I need to update my registered email address from user123@yahoo.com to newemail@gmail.com. Please make this change.,Account,Negative,Critical,16,i need to update my registered email address from to please make this change,"['i', 'need', 'to', 'update', 'my', 'registered', 'email', 'address', 'from', 'to', 'please', 'make', 'this', 'change']","['need', 'update', 'registered', 'email', 'address', 'please', 'make', 'change']","['need', 'update', 'registered', 'email', 'address', 'please', 'make', 'change']"
946,Your product has significantly improved my productivity. I would love to see calendar integration added in the future.,Feedback,Neutral,Low,18,your product has significantly improved my productivity i would love to see calendar integration added in the future,"['your', 'product', 'has', 'significantly', 'improved', 'my', 'productivity', 'i', 'would', 'love', 'to', 'see', 'calendar', 'integration', 'added', 'in', 'the', 'future']","['product', 'significantly', 'improved', 'productivity', 'would', 'love', 'see', 'calendar', 'integration', 'added', 'future']","['product', 'significantly', 'improved', 'productivity', 'would', 'love', 'see', 'calendar', 'integration', 'added', 'future']"
947,My profile picture is not updating despite uploading multiple times. The old photo keeps showing.,Account,Neutral,Critical,15,my profile picture is not updating despite uploading multiple times the old photo keeps showing,"['my', 'profile', 'picture', 'is', 'not', 'updating', 'despite', 'uploading', 'multiple', 'times', 'the', 'old', 'photo', 'keeps', 'showing']","['profile', 'picture', 'updating', 'despite', 'uploading', 'multiple', 'times', 'old', 'photo', 'keeps', 'showing']","['profile', 'picture', 'updating', 'despite', 'uploading', 'multiple', 'time', 'old', 'photo', 'keep', 'showing']"
948,Can you confirm if your service is available in India and if pricing is in local currency?,General Inquiry,Neutral,Low,17,can you confirm if your service is available in india and if pricing is in local currency,"['can', 'you', 'confirm', 'if', 'your', 'service', 'is', 'available', 'in', 'india', 'and', 'if', 'pricing', 'is', 'in', 'local', 'currency']","['confirm', 'service', 'available', 'india', 'pricing', 'local', 'currency']","['confirm', 'service', 'available', 'india', 'pricing', 'local', 'currency']"
949,The dashboard is not loading properly on Internet Explorer 11. Graphs are not displaying.,Technical,Negative,High,14,the dashboard is not loading properly on internet explorer graphs are not displaying,"['the', 'dashboard', 'is', 'not', 'loading', 'properly', 'on', 'internet', 'explorer', 'graphs', 'are', 'not', 'displaying']","['dashboard', 'loading', 'properly', 'internet', 'explorer', 'graphs', 'displaying']","['dashboard', 'loading', 'properly', 'internet', 'explorer', 'graph', 'displaying']"
950,What are the data backup and recovery policies for accounts on the premium subscription plan?,General Inquiry,Positive,Medium,15,what are the data backup and recovery policies for accounts on the premium subscription plan,"['what', 'are', 'the', 'data', 'backup', 'and', 'recovery', 'policies', 'for', 'accounts', 'on', 'the', 'premium', 'subscription', 'plan']","['data', 'backup', 'recovery', 'policies', 'accounts', 'premium', 'subscription', 'plan']","['data', 'backup', 'recovery', 'policy', 'account', 'premium', 'subscription', 'plan']"
951,The calendar sync with Google Calendar is not reflecting the correct time zone.,Technical,Negative,Critical,13,the calendar sync with google calendar is not reflecting the correct time zone,"['the', 'calendar', 'sync', 'with', 'google', 'calendar', 'is', 'not', 'reflecting', 'the', 'correct', 'time', 'zone']","['calendar', 'sync', 'google', 'calendar', 'reflecting', 'correct', 'time', 'zone']","['calendar', 'sync', 'google', 'calendar', 'reflecting', 'correct', 'time', 'zone']"
952,The two-factor authentication code is not being delivered to my phone number +91-7654321098.,Technical,Negative,Critical,13,the two factor authentication code is not being delivered to my phone number,"['the', 'two', 'factor', 'authentication', 'code', 'is', 'not', 'being', 'delivered', 'to', 'my', 'phone', 'number']","['two', 'factor', 'authentication', 'code', 'delivered', 'phone', 'number']","['two', 'factor', 'authentication', 'code', 'delivered', 'phone', 'number']"
953,"I have not received my refund of ₹499 that was approved on January 5, 2026. Please provide an update.",Billing,Negative,Medium,19,i have not received my refund of that was approved on january please provide an update,"['i', 'have', 'not', 'received', 'my', 'refund', 'of', 'that', 'was', 'approved', 'on', 'january', 'please', 'provide', 'an', 'update']","['received', 'refund', 'approved', 'january', 'please', 'provide', 'update']","['received', 'refund', 'approved', 'january', 'please', 'provide', 'update']"
954,"The event was cancelled without any notice and I need a full refund for my ticket worth ₹10,000.",Refund,Neutral,Medium,18,the event was cancelled without any notice and i need a full refund for my ticket worth,"['the', 'event', 'was', 'cancelled', 'without', 'any', 'notice', 'and', 'i', 'need', 'a', 'full', 'refund', 'for', 'my', 'ticket', 'worth']","['event', 'cancelled', 'without', 'notice', 'need', 'full', 'refund', 'ticket', 'worth']","['event', 'cancelled', 'without', 'notice', 'need', 'full', 'refund', 'ticket', 'worth']"
955,I am unable to change my username. The option is greyed out in account settings.,Account,Negative,Critical,15,i am unable to change my username the option is greyed out in account settings,"['i', 'am', 'unable', 'to', 'change', 'my', 'username', 'the', 'option', 'is', 'greyed', 'out', 'in', 'account', 'settings']","['unable', 'change', 'username', 'option', 'greyed', 'account', 'settings']","['unable', 'change', 'username', 'option', 'greyed', 'account', 'setting']"
956,What security measures does your company take to protect customer data and prevent unauthorized access?,General Inquiry,Positive,Medium,15,what security measures does your company take to protect customer data and prevent unauthorized access,"['what', 'security', 'measures', 'does', 'your', 'company', 'take', 'to', 'protect', 'customer', 'data', 'and', 'prevent', 'unauthorized', 'access']","['security', 'measures', 'company', 'take', 'protect', 'customer', 'data', 'prevent', 'unauthorized', 'access']","['security', 'measure', 'company', 'take', 'protect', 'customer', 'data', 'prevent', 'unauthorized', 'access']"
957,I need to update my registered email address from customer@outlook.com to updated@yahoo.com. Please make this change.,Account,Neutral,Critical,16,i need to update my registered email address from to please make this change,"['i', 'need', 'to', 'update', 'my', 'registered', 'email', 'address', 'from', 'to', 'please', 'make', 'this', 'change']","['need', 'update', 'registered', 'email', 'address', 'please', 'make', 'change']","['need', 'update', 'registered', 'email', 'address', 'please', 'make', 'change']"
958,Please initiate a refund for duplicate payment of ₹999 that was made due to a technical glitch.,Refund,Negative,Medium,17,please initiate a refund for duplicate payment of that was made due to a technical glitch,"['please', 'initiate', 'a', 'refund', 'for', 'duplicate', 'payment', 'of', 'that', 'was', 'made', 'due', 'to', 'a', 'technical', 'glitch']","['please', 'initiate', 'refund', 'duplicate', 'payment', 'made', 'due', 'technical', 'glitch']","['please', 'initiate', 'refund', 'duplicate', 'payment', 'made', 'due', 'technical', 'glitch']"
959,I accidentally deleted important files from my account. Is there any way to recover them?,Account,Neutral,Critical,15,i accidentally deleted important files from my account is there any way to recover them,"['i', 'accidentally', 'deleted', 'important', 'files', 'from', 'my', 'account', 'is', 'there', 'any', 'way', 'to', 'recover', 'them']","['accidentally', 'deleted', 'important', 'files', 'account', 'way', 'recover']","['accidentally', 'deleted', 'important', 'file', 'account', 'way', 'recover']"
960,"Please update my billing address on my account. My new address is 123 MG Road, Bangalore, KA 560001.",Billing,Negative,High,18,please update my billing address on my account my new address is mg road bangalore ka,"['please', 'update', 'my', 'billing', 'address', 'on', 'my', 'account', 'my', 'new', 'address', 'is', 'mg', 'road', 'bangalore', 'ka']","['please', 'update', 'billing', 'address', 'account', 'new', 'address', 'mg', 'road', 'bangalore', 'ka']","['please', 'update', 'billing', 'address', 'account', 'new', 'address', 'mg', 'road', 'bangalore', 'ka']"
961,The two-factor authentication code is not being delivered to my phone number +91-8765432109.,Technical,Neutral,Critical,13,the two factor authentication code is not being delivered to my phone number,"['the', 'two', 'factor', 'authentication', 'code', 'is', 'not', 'being', 'delivered', 'to', 'my', 'phone', 'number']","['two', 'factor', 'authentication', 'code', 'delivered', 'phone', 'number']","['two', 'factor', 'authentication', 'code', 'delivered', 'phone', 'number']"
962,"I am extremely disappointed with the quality of service I received from your support team on June 1, 2026.",Complaint,Negative,Critical,19,i am extremely disappointed with the quality of service i received from your support team on june,"['i', 'am', 'extremely', 'disappointed', 'with', 'the', 'quality', 'of', 'service', 'i', 'received', 'from', 'your', 'support', 'team', 'on', 'june']","['extremely', 'disappointed', 'quality', 'service', 'received', 'support', 'team', 'june']","['extremely', 'disappointed', 'quality', 'service', 'received', 'support', 'team', 'june']"
963,The response time of your support team has improved considerably over the last few months. Well done.,Feedback,Positive,Medium,17,the response time of your support team has improved considerably over the last few months well done,"['the', 'response', 'time', 'of', 'your', 'support', 'team', 'has', 'improved', 'considerably', 'over', 'the', 'last', 'few', 'months', 'well', 'done']","['response', 'time', 'support', 'team', 'improved', 'considerably', 'last', 'months', 'well', 'done']","['response', 'time', 'support', 'team', 'improved', 'considerably', 'last', 'month', 'well', 'done']"
