id,email_text,category,sentiment,priority,email_length,clean_text,tokens
857,The application crashes every time I try to upload a file larger than 10 MB. Please fix this bug.,Technical,Neutral,Critical,19,the application crashes every time i try to upload a file larger than mb please fix this bug,"['the', 'application', 'crashes', 'every', 'time', 'i', 'try', 'to', 'upload', 'a', 'file', 'larger', 'than', 'mb', 'please', 'fix', 'this', 'bug']"
858,The response time of your support team has improved considerably over the last few months. Well done.,Feedback,Negative,Medium,17,the response time of your support team has improved considerably over the last few months well done,"['the', 'response', 'time', 'of', 'your', 'support', 'team', 'has', 'improved', 'considerably', 'over', 'the', 'last', 'few', 'months', 'well', 'done']"
859,I am unable to change my username. The option is greyed out in account settings.,Account,Negative,Critical,15,i am unable to change my username the option is greyed out in account settings,"['i', 'am', 'unable', 'to', 'change', 'my', 'username', 'the', 'option', 'is', 'greyed', 'out', 'in', 'account', 'settings']"
860,I am unable to reset my password. The reset link sent to john.doe@gmail.com is not working.,Account,Negative,High,16,i am unable to reset my password the reset link sent to is not working,"['i', 'am', 'unable', 'to', 'reset', 'my', 'password', 'the', 'reset', 'link', 'sent', 'to', 'is', 'not', 'working']"
861,"I paid ₹5,000 via UPI but the payment failed and money was deducted from my bank account.",Billing,Negative,High,17,i paid via upi but the payment failed and money was deducted from my bank account,"['i', 'paid', 'via', 'upi', 'but', 'the', 'payment', 'failed', 'and', 'money', 'was', 'deducted', 'from', 'my', 'bank', 'account']"
862,I was charged for a service I never used. Please process a refund of $99 to my account.,Refund,Negative,Medium,18,i was charged for a service i never used please process a refund of to my account,"['i', 'was', 'charged', 'for', 'a', 'service', 'i', 'never', 'used', 'please', 'process', 'a', 'refund', 'of', 'to', 'my', 'account']"
863,The browser extension is conflicting with other extensions and causing my browser to crash.,Technical,Negative,High,14,the browser extension is conflicting with other extensions and causing my browser to crash,"['the', 'browser', 'extension', 'is', 'conflicting', 'with', 'other', 'extensions', 'and', 'causing', 'my', 'browser', 'to', 'crash']"
864,"The search functionality is broken. When I search for report, no results are displayed.",Technical,Neutral,Critical,14,the search functionality is broken when i search for report no results are displayed,"['the', 'search', 'functionality', 'is', 'broken', 'when', 'i', 'search', 'for', 'report', 'no', 'results', 'are', 'displayed']"
865,"I have been waiting for my refund of ₹10,000 for over 3 days. Please expedite the process.",Refund,Negative,High,17,i have been waiting for my refund of for over days please expedite the process,"['i', 'have', 'been', 'waiting', 'for', 'my', 'refund', 'of', 'for', 'over', 'days', 'please', 'expedite', 'the', 'process']"
866,I have been waiting for my refund of ₹499 for over 3 days. Please expedite the process.,Refund,Neutral,High,17,i have been waiting for my refund of for over days please expedite the process,"['i', 'have', 'been', 'waiting', 'for', 'my', 'refund', 'of', 'for', 'over', 'days', 'please', 'expedite', 'the', 'process']"
867,The response time of your support team has improved considerably over the last few months. Well done.,Feedback,Neutral,Medium,17,the response time of your support team has improved considerably over the last few months well done,"['the', 'response', 'time', 'of', 'your', 'support', 'team', 'has', 'improved', 'considerably', 'over', 'the', 'last', 'few', 'months', 'well', 'done']"
868,What are the system requirements to run your application on Windows 11 and macOS Monterey?,General Inquiry,Neutral,Medium,15,what are the system requirements to run your application on windows and macos monterey,"['what', 'are', 'the', 'system', 'requirements', 'to', 'run', 'your', 'application', 'on', 'windows', 'and', 'macos', 'monterey']"
869,I forgot the answer to my security question and cannot recover my account through the normal process.,Account,Neutral,High,17,i forgot the answer to my security question and cannot recover my account through the normal process,"['i', 'forgot', 'the', 'answer', 'to', 'my', 'security', 'question', 'and', 'can', 'not', 'recover', 'my', 'account', 'through', 'the', 'normal', 'process']"
870,How do I access the API documentation and are there any usage limits for the free tier?,General Inquiry,Neutral,Low,17,how do i access the api documentation and are there any usage limits for the free tier,"['how', 'do', 'i', 'access', 'the', 'api', 'documentation', 'and', 'are', 'there', 'any', 'usage', 'limits', 'for', 'the', 'free', 'tier']"
871,Your product has significantly improved my productivity. I would love to see custom dashboards added in the future.,Feedback,Positive,Low,18,your product has significantly improved my productivity i would love to see custom dashboards added in the future,"['your', 'product', 'has', 'significantly', 'improved', 'my', 'productivity', 'i', 'would', 'love', 'to', 'see', 'custom', 'dashboards', 'added', 'in', 'the', 'future']"
872,"My account preferences are not being saved. Every time I log out, the settings reset to default.",Account,Neutral,High,17,my account preferences are not being saved every time i log out the settings reset to default,"['my', 'account', 'preferences', 'are', 'not', 'being', 'saved', 'every', 'time', 'i', 'log', 'out', 'the', 'settings', 'reset', 'to', 'default']"
873,What are your support hours and what is the average response time for technical issues?,General Inquiry,Neutral,Medium,15,what are your support hours and what is the average response time for technical issues,"['what', 'are', 'your', 'support', 'hours', 'and', 'what', 'is', 'the', 'average', 'response', 'time', 'for', 'technical', 'issues']"
874,Your product has significantly improved my productivity. I would love to see AI insights added in the future.,Feedback,Negative,Low,18,your product has significantly improved my productivity i would love to see ai insights added in the future,"['your', 'product', 'has', 'significantly', 'improved', 'my', 'productivity', 'i', 'would', 'love', 'to', 'see', 'ai', 'insights', 'added', 'in', 'the', 'future']"
875,Is there a free trial available for your enterprise plan? How long is the trial period?,General Inquiry,Neutral,Medium,16,is there a free trial available for your enterprise plan how long is the trial period,"['is', 'there', 'a', 'free', 'trial', 'available', 'for', 'your', 'enterprise', 'plan', 'how', 'long', 'is', 'the', 'trial', 'period']"
876,The browser extension is conflicting with other extensions and causing my browser to crash.,Technical,Neutral,High,14,the browser extension is conflicting with other extensions and causing my browser to crash,"['the', 'browser', 'extension', 'is', 'conflicting', 'with', 'other', 'extensions', 'and', 'causing', 'my', 'browser', 'to', 'crash']"
877,The browser extension is conflicting with other extensions and causing my browser to crash.,Technical,Neutral,High,14,the browser extension is conflicting with other extensions and causing my browser to crash,"['the', 'browser', 'extension', 'is', 'conflicting', 'with', 'other', 'extensions', 'and', 'causing', 'my', 'browser', 'to', 'crash']"
878,"The billing amount of ₹2,000 does not match the quoted price of ₹1,299. Please clarify the difference.",Billing,Negative,High,17,the billing amount of does not match the quoted price of please clarify the difference,"['the', 'billing', 'amount', 'of', 'does', 'not', 'match', 'the', 'quoted', 'price', 'of', 'please', 'clarify', 'the', 'difference']"
879,"The event was cancelled without any notice and I need a full refund for my ticket worth ₹7,200.",Refund,Negative,Medium,18,the event was cancelled without any notice and i need a full refund for my ticket worth,"['the', 'event', 'was', 'cancelled', 'without', 'any', 'notice', 'and', 'i', 'need', 'a', 'full', 'refund', 'for', 'my', 'ticket', 'worth']"
880,I received a bill for ₹499 but my plan is for ₹399 per month. Please correct this billing error.,Billing,Negative,High,19,i received a bill for but my plan is for per month please correct this billing error,"['i', 'received', 'a', 'bill', 'for', 'but', 'my', 'plan', 'is', 'for', 'per', 'month', 'please', 'correct', 'this', 'billing', 'error']"
881,The customer portal is very well designed and easy to navigate. My overall experience has been excellent.,Feedback,Neutral,Low,17,the customer portal is very well designed and easy to navigate my overall experience has been excellent,"['the', 'customer', 'portal', 'is', 'very', 'well', 'designed', 'and', 'easy', 'to', 'navigate', 'my', 'overall', 'experience', 'has', 'been', 'excellent']"
882,The PDF reports are generating with incorrect data formatting. Numbers appear as text in the downloaded file.,Technical,Negative,Critical,17,the pdf reports are generating with incorrect data formatting numbers appear as text in the downloaded file,"['the', 'pdf', 'reports', 'are', 'generating', 'with', 'incorrect', 'data', 'formatting', 'numbers', 'appear', 'as', 'text', 'in', 'the', 'downloaded', 'file']"
883,I need to change my payment method from credit card to bank transfer for future invoices.,Billing,Negative,Medium,16,i need to change my payment method from credit card to bank transfer for future invoices,"['i', 'need', 'to', 'change', 'my', 'payment', 'method', 'from', 'credit', 'card', 'to', 'bank', 'transfer', 'for', 'future', 'invoices']"
884,The notification emails are going to spam even after whitelisting your domain. Please help.,Technical,Negative,High,14,the notification emails are going to spam even after whitelisting your domain please help,"['the', 'notification', 'emails', 'are', 'going', 'to', 'spam', 'even', 'after', 'whitelisting', 'your', 'domain', 'please', 'help']"
885,I feel cheated by your company. The subscription auto-renewed without my consent or any prior notification.,Complaint,Negative,Critical,16,i feel cheated by your company the subscription auto renewed without my consent or any prior notification,"['i', 'feel', 'cheated', 'by', 'your', 'company', 'the', 'subscription', 'auto', 'renewed', 'without', 'my', 'consent', 'or', 'any', 'prior', 'notification']"
886,"My payment of ₹10,000 was deducted but the order was not confirmed. Please check and resolve this issue.",Billing,Negative,High,18,my payment of was deducted but the order was not confirmed please check and resolve this issue,"['my', 'payment', 'of', 'was', 'deducted', 'but', 'the', 'order', 'was', 'not', 'confirmed', 'please', 'check', 'and', 'resolve', 'this', 'issue']"
887,My account shows outstanding balance of $299 but I have already paid. Please verify and update.,Billing,Neutral,Medium,16,my account shows outstanding balance of but i have already paid please verify and update,"['my', 'account', 'shows', 'outstanding', 'balance', 'of', 'but', 'i', 'have', 'already', 'paid', 'please', 'verify', 'and', 'update']"
888,I have been charged twice for the same invoice #INV-33045. Please refund the duplicate charge of ₹499.,Billing,Neutral,High,17,i have been charged twice for the same invoice inv please refund the duplicate charge of,"['i', 'have', 'been', 'charged', 'twice', 'for', 'the', 'same', 'invoice', 'inv', 'please', 'refund', 'the', 'duplicate', 'charge', 'of']"
889,I am filing a formal complaint about the misleading information provided on your website regarding pricing.,Complaint,Neutral,Critical,16,i am filing a formal complaint about the misleading information provided on your website regarding pricing,"['i', 'am', 'filing', 'a', 'formal', 'complaint', 'about', 'the', 'misleading', 'information', 'provided', 'on', 'your', 'website', 'regarding', 'pricing']"
890,Can you explain the difference between your monthly and annual subscription plans?,General Inquiry,Neutral,Low,12,can you explain the difference between your monthly and annual subscription plans,"['can', 'you', 'explain', 'the', 'difference', 'between', 'your', 'monthly', 'and', 'annual', 'subscription', 'plans']"
891,My account has been locked after multiple failed login attempts. Please unlock it immediately.,Account,Neutral,High,14,my account has been locked after multiple failed login attempts please unlock it immediately,"['my', 'account', 'has', 'been', 'locked', 'after', 'multiple', 'failed', 'login', 'attempts', 'please', 'unlock', 'it', 'immediately']"
892,"My monthly bill shows additional charges that were not part of my original plan. Total charged: ₹2,000.",Billing,Negative,High,17,my monthly bill shows additional charges that were not part of my original plan total charged,"['my', 'monthly', 'bill', 'shows', 'additional', 'charges', 'that', 'were', 'not', 'part', 'of', 'my', 'original', 'plan', 'total', 'charged']"
893,I cannot integrate your service with QuickBooks. The API key authentication is failing.,Technical,Negative,Critical,13,i cannot integrate your service with quickbooks the api key authentication is failing,"['i', 'can', 'not', 'integrate', 'your', 'service', 'with', 'quickbooks', 'the', 'api', 'key', 'authentication', 'is', 'failing']"
894,The browser extension is conflicting with other extensions and causing my browser to crash.,Technical,Neutral,High,14,the browser extension is conflicting with other extensions and causing my browser to crash,"['the', 'browser', 'extension', 'is', 'conflicting', 'with', 'other', 'extensions', 'and', 'causing', 'my', 'browser', 'to', 'crash']"
895,Please add multi-language support to your platform. Many of my team members prefer their native language.,Feedback,Negative,Medium,16,please add multi language support to your platform many of my team members prefer their native language,"['please', 'add', 'multi', 'language', 'support', 'to', 'your', 'platform', 'many', 'of', 'my', 'team', 'members', 'prefer', 'their', 'native', 'language']"
896,"I need a GST invoice for my payment of ₹10,000 made on March 3, 2026 for my business records.",Billing,Negative,High,19,i need a gst invoice for my payment of made on march for my business records,"['i', 'need', 'a', 'gst', 'invoice', 'for', 'my', 'payment', 'of', 'made', 'on', 'march', 'for', 'my', 'business', 'records']"
897,Someone seems to have accessed my account without my permission. Please secure my account immediately.,Account,Neutral,Critical,15,someone seems to have accessed my account without my permission please secure my account immediately,"['someone', 'seems', 'to', 'have', 'accessed', 'my', 'account', 'without', 'my', 'permission', 'please', 'secure', 'my', 'account', 'immediately']"
898,My hotel booking was cancelled due to unavailability but my refund of $499 has not arrived.,Refund,Negative,Medium,16,my hotel booking was cancelled due to unavailability but my refund of has not arrived,"['my', 'hotel', 'booking', 'was', 'cancelled', 'due', 'to', 'unavailability', 'but', 'my', 'refund', 'of', 'has', 'not', 'arrived']"
899,The mobile app is extremely slow and takes more than 15 seconds to load on my Redmi Note 11.,Technical,Negative,High,19,the mobile app is extremely slow and takes more than seconds to load on my redmi note,"['the', 'mobile', 'app', 'is', 'extremely', 'slow', 'and', 'takes', 'more', 'than', 'seconds', 'to', 'load', 'on', 'my', 'redmi', 'note']"
900,"I have not received my refund of $499 that was approved on December 15, 2025. Please provide an update.",Billing,Neutral,High,19,i have not received my refund of that was approved on december please provide an update,"['i', 'have', 'not', 'received', 'my', 'refund', 'of', 'that', 'was', 'approved', 'on', 'december', 'please', 'provide', 'an', 'update']"
901,"I received a bill for ₹3,500 but my plan is for ₹899 per month. Please correct this billing error.",Billing,Neutral,High,19,i received a bill for but my plan is for per month please correct this billing error,"['i', 'received', 'a', 'bill', 'for', 'but', 'my', 'plan', 'is', 'for', 'per', 'month', 'please', 'correct', 'this', 'billing', 'error']"
902,"My monthly bill shows additional charges that were not part of my original plan. Total charged: ₹3,500.",Billing,Negative,High,17,my monthly bill shows additional charges that were not part of my original plan total charged,"['my', 'monthly', 'bill', 'shows', 'additional', 'charges', 'that', 'were', 'not', 'part', 'of', 'my', 'original', 'plan', 'total', 'charged']"
903,The new report generation feature is fantastic but it would be better if we could schedule automated reports.,Feedback,Positive,Low,18,the new report generation feature is fantastic but it would be better if we could schedule automated reports,"['the', 'new', 'report', 'generation', 'feature', 'is', 'fantastic', 'but', 'it', 'would', 'be', 'better', 'if', 'we', 'could', 'schedule', 'automated', 'reports']"
904,I feel cheated by your company. The subscription auto-renewed without my consent or any prior notification.,Complaint,Negative,Critical,16,i feel cheated by your company the subscription auto renewed without my consent or any prior notification,"['i', 'feel', 'cheated', 'by', 'your', 'company', 'the', 'subscription', 'auto', 'renewed', 'without', 'my', 'consent', 'or', 'any', 'prior', 'notification']"
905,What security measures does your company take to protect customer data and prevent unauthorized access?,General Inquiry,Positive,Low,15,what security measures does your company take to protect customer data and prevent unauthorized access,"['what', 'security', 'measures', 'does', 'your', 'company', 'take', 'to', 'protect', 'customer', 'data', 'and', 'prevent', 'unauthorized', 'access']"
906,I cannot access my account after I changed my phone number. The OTP is going to the old number.,Account,Negative,High,19,i cannot access my account after i changed my phone number the otp is going to the old number,"['i', 'can', 'not', 'access', 'my', 'account', 'after', 'i', 'changed', 'my', 'phone', 'number', 'the', 'otp', 'is', 'going', 'to', 'the', 'old', 'number']"
907,"The customer support representative was very rude and unhelpful during my call on January 5, 2026. I need this escalated.",Complaint,Negative,High,20,the customer support representative was very rude and unhelpful during my call on january i need this escalated,"['the', 'customer', 'support', 'representative', 'was', 'very', 'rude', 'and', 'unhelpful', 'during', 'my', 'call', 'on', 'january', 'i', 'need', 'this', 'escalated']"
908,I need to update my registered email address from customer@outlook.com to updated@yahoo.com. Please make this change.,Account,Negative,Critical,16,i need to update my registered email address from to please make this change,"['i', 'need', 'to', 'update', 'my', 'registered', 'email', 'address', 'from', 'to', 'please', 'make', 'this', 'change']"
909,My hotel booking was cancelled due to unavailability but my refund of $299 has not arrived.,Refund,Neutral,High,16,my hotel booking was cancelled due to unavailability but my refund of has not arrived,"['my', 'hotel', 'booking', 'was', 'cancelled', 'due', 'to', 'unavailability', 'but', 'my', 'refund', 'of', 'has', 'not', 'arrived']"
910,What is the process for requesting a custom feature or reporting a product bug to your team?,General Inquiry,Positive,Low,17,what is the process for requesting a custom feature or reporting a product bug to your team,"['what', 'is', 'the', 'process', 'for', 'requesting', 'a', 'custom', 'feature', 'or', 'reporting', 'a', 'product', 'bug', 'to', 'your', 'team']"
911,I am filing a formal complaint about the misleading information provided on your website regarding pricing.,Complaint,Negative,High,16,i am filing a formal complaint about the misleading information provided on your website regarding pricing,"['i', 'am', 'filing', 'a', 'formal', 'complaint', 'about', 'the', 'misleading', 'information', 'provided', 'on', 'your', 'website', 'regarding', 'pricing']"
912,"I was charged a late fee of ₹5,000 even though my payment was submitted on time. Please waive this fee.",Billing,Neutral,Medium,20,i was charged a late fee of even though my payment was submitted on time please waive this fee,"['i', 'was', 'charged', 'a', 'late', 'fee', 'of', 'even', 'though', 'my', 'payment', 'was', 'submitted', 'on', 'time', 'please', 'waive', 'this', 'fee']"
913,"The EMI deduction of ₹2,000 failed this month. Please help me complete the payment.",Billing,Negative,Medium,14,the emi deduction of failed this month please help me complete the payment,"['the', 'emi', 'deduction', 'of', 'failed', 'this', 'month', 'please', 'help', 'me', 'complete', 'the', 'payment']"
914,Your API is returning a 500 internal server error when I make a POST request to /api/v1/payments.,Technical,Neutral,Critical,17,your api is returning a internal server error when i make a post request to api v payments,"['your', 'api', 'is', 'returning', 'a', 'internal', 'server', 'error', 'when', 'i', 'make', 'a', 'post', 'request', 'to', 'api', 'v', 'payments']"
915,My account has been locked after multiple failed login attempts. Please unlock it immediately.,Account,Neutral,Critical,14,my account has been locked after multiple failed login attempts please unlock it immediately,"['my', 'account', 'has', 'been', 'locked', 'after', 'multiple', 'failed', 'login', 'attempts', 'please', 'unlock', 'it', 'immediately']"
916,The mobile app is draining my battery too fast. It consumes 20% battery in just 6 hours.,Technical,Neutral,Critical,17,the mobile app is draining my battery too fast it consumes battery in just hours,"['the', 'mobile', 'app', 'is', 'draining', 'my', 'battery', 'too', 'fast', 'it', 'consumes', 'battery', 'in', 'just', 'hours']"
917,Your product has significantly improved my productivity. I would love to see dark mode added in the future.,Feedback,Positive,Medium,18,your product has significantly improved my productivity i would love to see dark mode added in the future,"['your', 'product', 'has', 'significantly', 'improved', 'my', 'productivity', 'i', 'would', 'love', 'to', 'see', 'dark', 'mode', 'added', 'in', 'the', 'future']"
918,Can I add additional users to my account? What are the costs per additional user seat?,General Inquiry,Positive,Low,16,can i add additional users to my account what are the costs per additional user seat,"['can', 'i', 'add', 'additional', 'users', 'to', 'my', 'account', 'what', 'are', 'the', 'costs', 'per', 'additional', 'user', 'seat']"
919,I am considering switching from my current provider. Can you help me understand the migration process?,General Inquiry,Neutral,Medium,16,i am considering switching from my current provider can you help me understand the migration process,"['i', 'am', 'considering', 'switching', 'from', 'my', 'current', 'provider', 'can', 'you', 'help', 'me', 'understand', 'the', 'migration', 'process']"
920,The response time of your support team has improved considerably over the last few months. Well done.,Feedback,Negative,Low,17,the response time of your support team has improved considerably over the last few months well done,"['the', 'response', 'time', 'of', 'your', 'support', 'team', 'has', 'improved', 'considerably', 'over', 'the', 'last', 'few', 'months', 'well', 'done']"
921,I am unable to download my invoice for the month of June. The download button is not working.,Billing,Neutral,High,18,i am unable to download my invoice for the month of june the download button is not working,"['i', 'am', 'unable', 'to', 'download', 'my', 'invoice', 'for', 'the', 'month', 'of', 'june', 'the', 'download', 'button', 'is', 'not', 'working']"
922,Please deactivate my account as I no longer wish to use your services. Delete all my personal data.,Account,Negative,Critical,18,please deactivate my account as i no longer wish to use your services delete all my personal data,"['please', 'deactivate', 'my', 'account', 'as', 'i', 'no', 'longer', 'wish', 'to', 'use', 'your', 'services', 'delete', 'all', 'my', 'personal', 'data']"
923,Your chatbot is useless and keeps giving me irrelevant answers. I need to speak to a human agent.,Complaint,Negative,Critical,18,your chatbot is useless and keeps giving me irrelevant answers i need to speak to a human agent,"['your', 'chatbot', 'is', 'useless', 'and', 'keeps', 'giving', 'me', 'irrelevant', 'answers', 'i', 'need', 'to', 'speak', 'to', 'a', 'human', 'agent']"
924,I need to update my registered email address from myemail@hotmail.com to newemail@gmail.com. Please make this change.,Account,Negative,High,16,i need to update my registered email address from to please make this change,"['i', 'need', 'to', 'update', 'my', 'registered', 'email', 'address', 'from', 'to', 'please', 'make', 'this', 'change']"
925,I accidentally deleted important files from my account. Is there any way to recover them?,Account,Negative,Critical,15,i accidentally deleted important files from my account is there any way to recover them,"['i', 'accidentally', 'deleted', 'important', 'files', 'from', 'my', 'account', 'is', 'there', 'any', 'way', 'to', 'recover', 'them']"
926,The customer portal is very well designed and easy to navigate. My overall experience has been excellent.,Feedback,Negative,Low,17,the customer portal is very well designed and easy to navigate my overall experience has been excellent,"['the', 'customer', 'portal', 'is', 'very', 'well', 'designed', 'and', 'easy', 'to', 'navigate', 'my', 'overall', 'experience', 'has', 'been', 'excellent']"
927,The onboarding process is too complicated for new users. A guided tutorial would be very helpful.,Feedback,Positive,Medium,16,the onboarding process is too complicated for new users a guided tutorial would be very helpful,"['the', 'onboarding', 'process', 'is', 'too', 'complicated', 'for', 'new', 'users', 'a', 'guided', 'tutorial', 'would', 'be', 'very', 'helpful']"
928,My payment of $299 was deducted but the order was not confirmed. Please check and resolve this issue.,Billing,Neutral,High,18,my payment of was deducted but the order was not confirmed please check and resolve this issue,"['my', 'payment', 'of', 'was', 'deducted', 'but', 'the', 'order', 'was', 'not', 'confirmed', 'please', 'check', 'and', 'resolve', 'this', 'issue']"
929,The EMI deduction of $49.99 failed this month. Please help me complete the payment.,Billing,Negative,Medium,14,the emi deduction of failed this month please help me complete the payment,"['the', 'emi', 'deduction', 'of', 'failed', 'this', 'month', 'please', 'help', 'me', 'complete', 'the', 'payment']"
930,The new user interface update is confusing and not user-friendly. Please consider reverting to the old design.,Feedback,Negative,Medium,17,the new user interface update is confusing and not user friendly please consider reverting to the old design,"['the', 'new', 'user', 'interface', 'update', 'is', 'confusing', 'and', 'not', 'user', 'friendly', 'please', 'consider', 'reverting', 'to', 'the', 'old', 'design']"
931,Please deactivate my account as I no longer wish to use your services. Delete all my personal data.,Account,Neutral,High,18,please deactivate my account as i no longer wish to use your services delete all my personal data,"['please', 'deactivate', 'my', 'account', 'as', 'i', 'no', 'longer', 'wish', 'to', 'use', 'your', 'services', 'delete', 'all', 'my', 'personal', 'data']"
932,"The billing amount of ₹499 does not match the quoted price of ₹1,299. Please clarify the difference.",Billing,Neutral,High,17,the billing amount of does not match the quoted price of please clarify the difference,"['the', 'billing', 'amount', 'of', 'does', 'not', 'match', 'the', 'quoted', 'price', 'of', 'please', 'clarify', 'the', 'difference']"
933,"I want to request a full refund for my order #ORD-45612 placed on February 12, 2026. The product was defective.",Refund,Negative,Medium,20,i want to request a full refund for my order ord placed on february the product was defective,"['i', 'want', 'to', 'request', 'a', 'full', 'refund', 'for', 'my', 'order', 'ord', 'placed', 'on', 'february', 'the', 'product', 'was', 'defective']"
934,"I have been waiting for my refund of ₹2,000 for over 30 days. Please expedite the process.",Refund,Negative,High,17,i have been waiting for my refund of for over days please expedite the process,"['i', 'have', 'been', 'waiting', 'for', 'my', 'refund', 'of', 'for', 'over', 'days', 'please', 'expedite', 'the', 'process']"
935,Can I add additional users to my account? What are the costs per additional user seat?,General Inquiry,Positive,Low,16,can i add additional users to my account what are the costs per additional user seat,"['can', 'i', 'add', 'additional', 'users', 'to', 'my', 'account', 'what', 'are', 'the', 'costs', 'per', 'additional', 'user', 'seat']"
936,What is the process for upgrading my current plan from basic to premium? Will I lose any data?,General Inquiry,Positive,Low,18,what is the process for upgrading my current plan from basic to premium will i lose any data,"['what', 'is', 'the', 'process', 'for', 'upgrading', 'my', 'current', 'plan', 'from', 'basic', 'to', 'premium', 'will', 'i', 'lose', 'any', 'data']"
937,"I returned the product on November 20, 2025 and the return was confirmed but the refund has not been processed.",Refund,Negative,High,20,i returned the product on november and the return was confirmed but the refund has not been processed,"['i', 'returned', 'the', 'product', 'on', 'november', 'and', 'the', 'return', 'was', 'confirmed', 'but', 'the', 'refund', 'has', 'not', 'been', 'processed']"
938,I would like to suggest adding a dark mode option to your application for better user experience.,Feedback,Positive,Low,17,i would like to suggest adding a dark mode option to your application for better user experience,"['i', 'would', 'like', 'to', 'suggest', 'adding', 'a', 'dark', 'mode', 'option', 'to', 'your', 'application', 'for', 'better', 'user', 'experience']"
939,The two-factor authentication code is not being delivered to my phone number +1-555-0123.,Technical,Negative,Critical,13,the two factor authentication code is not being delivered to my phone number,"['the', 'two', 'factor', 'authentication', 'code', 'is', 'not', 'being', 'delivered', 'to', 'my', 'phone', 'number']"
940,I am unable to change my username. The option is greyed out in account settings.,Account,Neutral,Critical,15,i am unable to change my username the option is greyed out in account settings,"['i', 'am', 'unable', 'to', 'change', 'my', 'username', 'the', 'option', 'is', 'greyed', 'out', 'in', 'account', 'settings']"
941,The mobile app is draining my battery too fast. It consumes 20% battery in just 48 hours.,Technical,Negative,High,17,the mobile app is draining my battery too fast it consumes battery in just hours,"['the', 'mobile', 'app', 'is', 'draining', 'my', 'battery', 'too', 'fast', 'it', 'consumes', 'battery', 'in', 'just', 'hours']"
942,"I want to request a full refund for my order #ORD-66123 placed on January 5, 2026. The product was defective.",Refund,Negative,High,20,i want to request a full refund for my order ord placed on january the product was defective,"['i', 'want', 'to', 'request', 'a', 'full', 'refund', 'for', 'my', 'order', 'ord', 'placed', 'on', 'january', 'the', 'product', 'was', 'defective']"
943,Can I add additional users to my account? What are the costs per additional user seat?,General Inquiry,Neutral,Low,16,can i add additional users to my account what are the costs per additional user seat,"['can', 'i', 'add', 'additional', 'users', 'to', 'my', 'account', 'what', 'are', 'the', 'costs', 'per', 'additional', 'user', 'seat']"
944,My flight was cancelled by the airline and I am requesting a full refund of $49.99 for my booking.,Refund,Neutral,Medium,19,my flight was cancelled by the airline and i am requesting a full refund of for my booking,"['my', 'flight', 'was', 'cancelled', 'by', 'the', 'airline', 'and', 'i', 'am', 'requesting', 'a', 'full', 'refund', 'of', 'for', 'my', 'booking']"
945,I need to update my registered email address from user123@yahoo.com to newemail@gmail.com. Please make this change.,Account,Negative,Critical,16,i need to update my registered email address from to please make this change,"['i', 'need', 'to', 'update', 'my', 'registered', 'email', 'address', 'from', 'to', 'please', 'make', 'this', 'change']"
946,Your product has significantly improved my productivity. I would love to see calendar integration added in the future.,Feedback,Neutral,Low,18,your product has significantly improved my productivity i would love to see calendar integration added in the future,"['your', 'product', 'has', 'significantly', 'improved', 'my', 'productivity', 'i', 'would', 'love', 'to', 'see', 'calendar', 'integration', 'added', 'in', 'the', 'future']"
947,My profile picture is not updating despite uploading multiple times. The old photo keeps showing.,Account,Neutral,Critical,15,my profile picture is not updating despite uploading multiple times the old photo keeps showing,"['my', 'profile', 'picture', 'is', 'not', 'updating', 'despite', 'uploading', 'multiple', 'times', 'the', 'old', 'photo', 'keeps', 'showing']"
948,Can you confirm if your service is available in India and if pricing is in local currency?,General Inquiry,Neutral,Low,17,can you confirm if your service is available in india and if pricing is in local currency,"['can', 'you', 'confirm', 'if', 'your', 'service', 'is', 'available', 'in', 'india', 'and', 'if', 'pricing', 'is', 'in', 'local', 'currency']"
949,The dashboard is not loading properly on Internet Explorer 11. Graphs are not displaying.,Technical,Negative,High,14,the dashboard is not loading properly on internet explorer graphs are not displaying,"['the', 'dashboard', 'is', 'not', 'loading', 'properly', 'on', 'internet', 'explorer', 'graphs', 'are', 'not', 'displaying']"
950,What are the data backup and recovery policies for accounts on the premium subscription plan?,General Inquiry,Positive,Medium,15,what are the data backup and recovery policies for accounts on the premium subscription plan,"['what', 'are', 'the', 'data', 'backup', 'and', 'recovery', 'policies', 'for', 'accounts', 'on', 'the', 'premium', 'subscription', 'plan']"
951,The calendar sync with Google Calendar is not reflecting the correct time zone.,Technical,Negative,Critical,13,the calendar sync with google calendar is not reflecting the correct time zone,"['the', 'calendar', 'sync', 'with', 'google', 'calendar', 'is', 'not', 'reflecting', 'the', 'correct', 'time', 'zone']"
952,The two-factor authentication code is not being delivered to my phone number +91-7654321098.,Technical,Negative,Critical,13,the two factor authentication code is not being delivered to my phone number,"['the', 'two', 'factor', 'authentication', 'code', 'is', 'not', 'being', 'delivered', 'to', 'my', 'phone', 'number']"
953,"I have not received my refund of ₹499 that was approved on January 5, 2026. Please provide an update.",Billing,Negative,Medium,19,i have not received my refund of that was approved on january please provide an update,"['i', 'have', 'not', 'received', 'my', 'refund', 'of', 'that', 'was', 'approved', 'on', 'january', 'please', 'provide', 'an', 'update']"
