contract_text,supplier,product,quantity,price,delivery_date,payment_terms
"
    Supplier: Green Agro Pvt Ltd

    Product: Copper Wire

    Quantity: 3905 Tons

    Price: ₹20260/Ton

    Delivery Date: 1 July 2026

    Payment Terms: Advance Payment

    Green Agro Pvt Ltd agrees to supply 3905 Tons of Copper Wire
    at ₹20260 per Ton.

    Delivery shall be completed by 1 July 2026.

    Payment Terms: Advance Payment.
    ",Green Agro Pvt Ltd,Copper Wire,3905 Tons,20260,1 July 2026,Advance Payment
"
    Supplier: National Plastics

    Product: Plastic Granules

    Quantity: 9427 Tons

    Price: ₹23456/Ton

    Delivery Date: 14 October 2026

    Payment Terms: Net 45 Days

    National Plastics agrees to supply 9427 Tons of Plastic Granules
    at ₹23456 per Ton.

    Delivery shall be completed by 14 October 2026.

    Payment Terms: Net 45 Days.
    ",National Plastics,Plastic Granules,9427 Tons,23456,14 October 2026,Net 45 Days
"
    Supplier: National Plastics

    Product: Industrial Solvent

    Quantity: 7620 Tons

    Price: ₹23697/Ton

    Delivery Date: 26 May 2026

    Payment Terms: Advance Payment

    National Plastics agrees to supply 7620 Tons of Industrial Solvent
    at ₹23697 per Ton.

    Delivery shall be completed by 26 May 2026.

    Payment Terms: Advance Payment.
    ",National Plastics,Industrial Solvent,7620 Tons,23697,26 May 2026,Advance Payment
"
    Supplier: ABC Chemicals

    Product: Iron Rods

    Quantity: 5972 Tons

    Price: ₹38296/Ton

    Delivery Date: 11 August 2026

    Payment Terms: Net 30 Days

    ABC Chemicals agrees to supply 5972 Tons of Iron Rods
    at ₹38296 per Ton.

    Delivery shall be completed by 11 August 2026.

    Payment Terms: Net 30 Days.
    ",ABC Chemicals,Iron Rods,5972 Tons,38296,11 August 2026,Net 30 Days
"
    Supplier: Global Minerals

    Product: Plastic Granules

    Quantity: 2042 Tons

    Price: ₹45928/Ton

    Delivery Date: 22 August 2026

    Payment Terms: Payment After Delivery

    Global Minerals agrees to supply 2042 Tons of Plastic Granules
    at ₹45928 per Ton.

    Delivery shall be completed by 22 August 2026.

    Payment Terms: Payment After Delivery.
    ",Global Minerals,Plastic Granules,2042 Tons,45928,22 August 2026,Payment After Delivery
"
    Supplier: National Plastics

    Product: Copper Wire

    Quantity: 3134 Tons

    Price: ₹19062/Ton

    Delivery Date: 7 January 2026

    Payment Terms: 50% Advance

    National Plastics agrees to supply 3134 Tons of Copper Wire
    at ₹19062 per Ton.

    Delivery shall be completed by 7 January 2026.

    Payment Terms: 50% Advance.
    ",National Plastics,Copper Wire,3134 Tons,19062,7 January 2026,50% Advance
"
    Supplier: National Plastics

    Product: Copper Wire

    Quantity: 2833 Tons

    Price: ₹32507/Ton

    Delivery Date: 24 October 2026

    Payment Terms: Advance Payment

    National Plastics agrees to supply 2833 Tons of Copper Wire
    at ₹32507 per Ton.

    Delivery shall be completed by 24 October 2026.

    Payment Terms: Advance Payment.
    ",National Plastics,Copper Wire,2833 Tons,32507,24 October 2026,Advance Payment
"
    Supplier: Bharat Steel Ltd

    Product: Plastic Granules

    Quantity: 8675 Tons

    Price: ₹42662/Ton

    Delivery Date: 16 September 2026

    Payment Terms: Net 30 Days

    Bharat Steel Ltd agrees to supply 8675 Tons of Plastic Granules
    at ₹42662 per Ton.

    Delivery shall be completed by 16 September 2026.

    Payment Terms: Net 30 Days.
    ",Bharat Steel Ltd,Plastic Granules,8675 Tons,42662,16 September 2026,Net 30 Days
"
    Supplier: National Plastics

    Product: Fertilizer

    Quantity: 9594 Tons

    Price: ₹44115/Ton

    Delivery Date: 24 April 2026

    Payment Terms: Net 30 Days

    National Plastics agrees to supply 9594 Tons of Fertilizer
    at ₹44115 per Ton.

    Delivery shall be completed by 24 April 2026.

    Payment Terms: Net 30 Days.
    ",National Plastics,Fertilizer,9594 Tons,44115,24 April 2026,Net 30 Days
"
    Supplier: Bharat Steel Ltd

    Product: Industrial Solvent

    Quantity: 2709 Tons

    Price: ₹29789/Ton

    Delivery Date: 14 February 2026

    Payment Terms: Payment After Delivery

    Bharat Steel Ltd agrees to supply 2709 Tons of Industrial Solvent
    at ₹29789 per Ton.

    Delivery shall be completed by 14 February 2026.

    Payment Terms: Payment After Delivery.
    ",Bharat Steel Ltd,Industrial Solvent,2709 Tons,29789,14 February 2026,Payment After Delivery
"
    Supplier: Green Agro Pvt Ltd

    Product: Copper Wire

    Quantity: 4706 Tons

    Price: ₹14227/Ton

    Delivery Date: 14 June 2026

    Payment Terms: Payment After Delivery

    Green Agro Pvt Ltd agrees to supply 4706 Tons of Copper Wire
    at ₹14227 per Ton.

    Delivery shall be completed by 14 June 2026.

    Payment Terms: Payment After Delivery.
    ",Green Agro Pvt Ltd,Copper Wire,4706 Tons,14227,14 June 2026,Payment After Delivery
"
    Supplier: Bharat Steel Ltd

    Product: Copper Wire

    Quantity: 6674 Tons

    Price: ₹33018/Ton

    Delivery Date: 3 May 2026

    Payment Terms: Net 45 Days

    Bharat Steel Ltd agrees to supply 6674 Tons of Copper Wire
    at ₹33018 per Ton.

    Delivery shall be completed by 3 May 2026.

    Payment Terms: Net 45 Days.
    ",Bharat Steel Ltd,Copper Wire,6674 Tons,33018,3 May 2026,Net 45 Days
"
    Supplier: Bharat Steel Ltd

    Product: Copper Wire

    Quantity: 353 Tons

    Price: ₹42496/Ton

    Delivery Date: 19 January 2026

    Payment Terms: Net 30 Days

    Bharat Steel Ltd agrees to supply 353 Tons of Copper Wire
    at ₹42496 per Ton.

    Delivery shall be completed by 19 January 2026.

    Payment Terms: Net 30 Days.
    ",Bharat Steel Ltd,Copper Wire,353 Tons,42496,19 January 2026,Net 30 Days
"
    Supplier: Bharat Steel Ltd

    Product: Copper Wire

    Quantity: 1472 Tons

    Price: ₹6396/Ton

    Delivery Date: 8 April 2026

    Payment Terms: Net 30 Days

    Bharat Steel Ltd agrees to supply 1472 Tons of Copper Wire
    at ₹6396 per Ton.

    Delivery shall be completed by 8 April 2026.

    Payment Terms: Net 30 Days.
    ",Bharat Steel Ltd,Copper Wire,1472 Tons,6396,8 April 2026,Net 30 Days
"
    Supplier: ABC Chemicals

    Product: Industrial Solvent

    Quantity: 8628 Tons

    Price: ₹45038/Ton

    Delivery Date: 7 July 2026

    Payment Terms: Net 30 Days

    ABC Chemicals agrees to supply 8628 Tons of Industrial Solvent
    at ₹45038 per Ton.

    Delivery shall be completed by 7 July 2026.

    Payment Terms: Net 30 Days.
    ",ABC Chemicals,Industrial Solvent,8628 Tons,45038,7 July 2026,Net 30 Days
"
    Supplier: ABC Chemicals

    Product: Fertilizer

    Quantity: 5922 Tons

    Price: ₹10422/Ton

    Delivery Date: 5 March 2026

    Payment Terms: Payment After Delivery

    ABC Chemicals agrees to supply 5922 Tons of Fertilizer
    at ₹10422 per Ton.

    Delivery shall be completed by 5 March 2026.

    Payment Terms: Payment After Delivery.
    ",ABC Chemicals,Fertilizer,5922 Tons,10422,5 March 2026,Payment After Delivery
"
    Supplier: National Plastics

    Product: Industrial Solvent

    Quantity: 7687 Tons

    Price: ₹35243/Ton

    Delivery Date: 15 February 2026

    Payment Terms: Payment After Delivery

    National Plastics agrees to supply 7687 Tons of Industrial Solvent
    at ₹35243 per Ton.

    Delivery shall be completed by 15 February 2026.

    Payment Terms: Payment After Delivery.
    ",National Plastics,Industrial Solvent,7687 Tons,35243,15 February 2026,Payment After Delivery
"
    Supplier: Bharat Steel Ltd

    Product: Industrial Solvent

    Quantity: 9667 Tons

    Price: ₹21331/Ton

    Delivery Date: 16 June 2026

    Payment Terms: Net 30 Days

    Bharat Steel Ltd agrees to supply 9667 Tons of Industrial Solvent
    at ₹21331 per Ton.

    Delivery shall be completed by 16 June 2026.

    Payment Terms: Net 30 Days.
    ",Bharat Steel Ltd,Industrial Solvent,9667 Tons,21331,16 June 2026,Net 30 Days
"
    Supplier: Global Minerals

    Product: Plastic Granules

    Quantity: 6609 Tons

    Price: ₹23286/Ton

    Delivery Date: 11 May 2026

    Payment Terms: 50% Advance

    Global Minerals agrees to supply 6609 Tons of Plastic Granules
    at ₹23286 per Ton.

    Delivery shall be completed by 11 May 2026.

    Payment Terms: 50% Advance.
    ",Global Minerals,Plastic Granules,6609 Tons,23286,11 May 2026,50% Advance
"
    Supplier: Green Agro Pvt Ltd

    Product: Iron Rods

    Quantity: 6551 Tons

    Price: ₹20981/Ton

    Delivery Date: 3 September 2026

    Payment Terms: Net 30 Days

    Green Agro Pvt Ltd agrees to supply 6551 Tons of Iron Rods
    at ₹20981 per Ton.

    Delivery shall be completed by 3 September 2026.

    Payment Terms: Net 30 Days.
    ",Green Agro Pvt Ltd,Iron Rods,6551 Tons,20981,3 September 2026,Net 30 Days
"
    Supplier: Bharat Steel Ltd

    Product: Copper Wire

    Quantity: 4625 Tons

    Price: ₹8519/Ton

    Delivery Date: 24 July 2026

    Payment Terms: Net 45 Days

    Bharat Steel Ltd agrees to supply 4625 Tons of Copper Wire
    at ₹8519 per Ton.

    Delivery shall be completed by 24 July 2026.

    Payment Terms: Net 45 Days.
    ",Bharat Steel Ltd,Copper Wire,4625 Tons,8519,24 July 2026,Net 45 Days
"
    Supplier: Green Agro Pvt Ltd

    Product: Industrial Solvent

    Quantity: 7778 Tons

    Price: ₹1922/Ton

    Delivery Date: 8 November 2026

    Payment Terms: Net 45 Days

    Green Agro Pvt Ltd agrees to supply 7778 Tons of Industrial Solvent
    at ₹1922 per Ton.

    Delivery shall be completed by 8 November 2026.

    Payment Terms: Net 45 Days.
    ",Green Agro Pvt Ltd,Industrial Solvent,7778 Tons,1922,8 November 2026,Net 45 Days
"
    Supplier: Green Agro Pvt Ltd

    Product: Iron Rods

    Quantity: 9099 Tons

    Price: ₹2984/Ton

    Delivery Date: 21 December 2026

    Payment Terms: Net 30 Days

    Green Agro Pvt Ltd agrees to supply 9099 Tons of Iron Rods
    at ₹2984 per Ton.

    Delivery shall be completed by 21 December 2026.

    Payment Terms: Net 30 Days.
    ",Green Agro Pvt Ltd,Iron Rods,9099 Tons,2984,21 December 2026,Net 30 Days
"
    Supplier: Green Agro Pvt Ltd

    Product: Fertilizer

    Quantity: 1815 Tons

    Price: ₹41231/Ton

    Delivery Date: 26 April 2026

    Payment Terms: Payment After Delivery

    Green Agro Pvt Ltd agrees to supply 1815 Tons of Fertilizer
    at ₹41231 per Ton.

    Delivery shall be completed by 26 April 2026.

    Payment Terms: Payment After Delivery.
    ",Green Agro Pvt Ltd,Fertilizer,1815 Tons,41231,26 April 2026,Payment After Delivery
"
    Supplier: Green Agro Pvt Ltd

    Product: Plastic Granules

    Quantity: 8739 Tons

    Price: ₹37002/Ton

    Delivery Date: 2 August 2026

    Payment Terms: Net 30 Days

    Green Agro Pvt Ltd agrees to supply 8739 Tons of Plastic Granules
    at ₹37002 per Ton.

    Delivery shall be completed by 2 August 2026.

    Payment Terms: Net 30 Days.
    ",Green Agro Pvt Ltd,Plastic Granules,8739 Tons,37002,2 August 2026,Net 30 Days
"
    Supplier: Bharat Steel Ltd

    Product: Plastic Granules

    Quantity: 3471 Tons

    Price: ₹6787/Ton

    Delivery Date: 26 October 2026

    Payment Terms: Advance Payment

    Bharat Steel Ltd agrees to supply 3471 Tons of Plastic Granules
    at ₹6787 per Ton.

    Delivery shall be completed by 26 October 2026.

    Payment Terms: Advance Payment.
    ",Bharat Steel Ltd,Plastic Granules,3471 Tons,6787,26 October 2026,Advance Payment
"
    Supplier: ABC Chemicals

    Product: Industrial Solvent

    Quantity: 5613 Tons

    Price: ₹28009/Ton

    Delivery Date: 18 March 2026

    Payment Terms: Payment After Delivery

    ABC Chemicals agrees to supply 5613 Tons of Industrial Solvent
    at ₹28009 per Ton.

    Delivery shall be completed by 18 March 2026.

    Payment Terms: Payment After Delivery.
    ",ABC Chemicals,Industrial Solvent,5613 Tons,28009,18 March 2026,Payment After Delivery
"
    Supplier: National Plastics

    Product: Plastic Granules

    Quantity: 4401 Tons

    Price: ₹41592/Ton

    Delivery Date: 14 April 2026

    Payment Terms: Advance Payment

    National Plastics agrees to supply 4401 Tons of Plastic Granules
    at ₹41592 per Ton.

    Delivery shall be completed by 14 April 2026.

    Payment Terms: Advance Payment.
    ",National Plastics,Plastic Granules,4401 Tons,41592,14 April 2026,Advance Payment
"
    Supplier: National Plastics

    Product: Iron Rods

    Quantity: 5168 Tons

    Price: ₹42577/Ton

    Delivery Date: 25 March 2026

    Payment Terms: 50% Advance

    National Plastics agrees to supply 5168 Tons of Iron Rods
    at ₹42577 per Ton.

    Delivery shall be completed by 25 March 2026.

    Payment Terms: 50% Advance.
    ",National Plastics,Iron Rods,5168 Tons,42577,25 March 2026,50% Advance
"
    Supplier: Global Minerals

    Product: Copper Wire

    Quantity: 5361 Tons

    Price: ₹744/Ton

    Delivery Date: 27 June 2026

    Payment Terms: Net 45 Days

    Global Minerals agrees to supply 5361 Tons of Copper Wire
    at ₹744 per Ton.

    Delivery shall be completed by 27 June 2026.

    Payment Terms: Net 45 Days.
    ",Global Minerals,Copper Wire,5361 Tons,744,27 June 2026,Net 45 Days
"
    Supplier: Global Minerals

    Product: Iron Rods

    Quantity: 3501 Tons

    Price: ₹49852/Ton

    Delivery Date: 3 October 2026

    Payment Terms: Net 45 Days

    Global Minerals agrees to supply 3501 Tons of Iron Rods
    at ₹49852 per Ton.

    Delivery shall be completed by 3 October 2026.

    Payment Terms: Net 45 Days.
    ",Global Minerals,Iron Rods,3501 Tons,49852,3 October 2026,Net 45 Days
"
    Supplier: National Plastics

    Product: Iron Rods

    Quantity: 9667 Tons

    Price: ₹35808/Ton

    Delivery Date: 10 June 2026

    Payment Terms: Payment After Delivery

    National Plastics agrees to supply 9667 Tons of Iron Rods
    at ₹35808 per Ton.

    Delivery shall be completed by 10 June 2026.

    Payment Terms: Payment After Delivery.
    ",National Plastics,Iron Rods,9667 Tons,35808,10 June 2026,Payment After Delivery
"
    Supplier: ABC Chemicals

    Product: Copper Wire

    Quantity: 7054 Tons

    Price: ₹1865/Ton

    Delivery Date: 8 August 2026

    Payment Terms: Net 30 Days

    ABC Chemicals agrees to supply 7054 Tons of Copper Wire
    at ₹1865 per Ton.

    Delivery shall be completed by 8 August 2026.

    Payment Terms: Net 30 Days.
    ",ABC Chemicals,Copper Wire,7054 Tons,1865,8 August 2026,Net 30 Days
"
    Supplier: National Plastics

    Product: Iron Rods

    Quantity: 3841 Tons

    Price: ₹28023/Ton

    Delivery Date: 18 July 2026

    Payment Terms: Payment After Delivery

    National Plastics agrees to supply 3841 Tons of Iron Rods
    at ₹28023 per Ton.

    Delivery shall be completed by 18 July 2026.

    Payment Terms: Payment After Delivery.
    ",National Plastics,Iron Rods,3841 Tons,28023,18 July 2026,Payment After Delivery
"
    Supplier: ABC Chemicals

    Product: Industrial Solvent

    Quantity: 6378 Tons

    Price: ₹6524/Ton

    Delivery Date: 26 September 2026

    Payment Terms: Advance Payment

    ABC Chemicals agrees to supply 6378 Tons of Industrial Solvent
    at ₹6524 per Ton.

    Delivery shall be completed by 26 September 2026.

    Payment Terms: Advance Payment.
    ",ABC Chemicals,Industrial Solvent,6378 Tons,6524,26 September 2026,Advance Payment
"
    Supplier: ABC Chemicals

    Product: Industrial Solvent

    Quantity: 1218 Tons

    Price: ₹30391/Ton

    Delivery Date: 15 March 2026

    Payment Terms: Net 30 Days

    ABC Chemicals agrees to supply 1218 Tons of Industrial Solvent
    at ₹30391 per Ton.

    Delivery shall be completed by 15 March 2026.

    Payment Terms: Net 30 Days.
    ",ABC Chemicals,Industrial Solvent,1218 Tons,30391,15 March 2026,Net 30 Days
"
    Supplier: Global Minerals

    Product: Fertilizer

    Quantity: 4706 Tons

    Price: ₹44308/Ton

    Delivery Date: 28 April 2026

    Payment Terms: Advance Payment

    Global Minerals agrees to supply 4706 Tons of Fertilizer
    at ₹44308 per Ton.

    Delivery shall be completed by 28 April 2026.

    Payment Terms: Advance Payment.
    ",Global Minerals,Fertilizer,4706 Tons,44308,28 April 2026,Advance Payment
"
    Supplier: Green Agro Pvt Ltd

    Product: Iron Rods

    Quantity: 7245 Tons

    Price: ₹22316/Ton

    Delivery Date: 1 April 2026

    Payment Terms: 50% Advance

    Green Agro Pvt Ltd agrees to supply 7245 Tons of Iron Rods
    at ₹22316 per Ton.

    Delivery shall be completed by 1 April 2026.

    Payment Terms: 50% Advance.
    ",Green Agro Pvt Ltd,Iron Rods,7245 Tons,22316,1 April 2026,50% Advance
"
    Supplier: ABC Chemicals

    Product: Plastic Granules

    Quantity: 1854 Tons

    Price: ₹39300/Ton

    Delivery Date: 19 October 2026

    Payment Terms: 50% Advance

    ABC Chemicals agrees to supply 1854 Tons of Plastic Granules
    at ₹39300 per Ton.

    Delivery shall be completed by 19 October 2026.

    Payment Terms: 50% Advance.
    ",ABC Chemicals,Plastic Granules,1854 Tons,39300,19 October 2026,50% Advance
"
    Supplier: National Plastics

    Product: Industrial Solvent

    Quantity: 2847 Tons

    Price: ₹42604/Ton

    Delivery Date: 9 January 2026

    Payment Terms: Advance Payment

    National Plastics agrees to supply 2847 Tons of Industrial Solvent
    at ₹42604 per Ton.

    Delivery shall be completed by 9 January 2026.

    Payment Terms: Advance Payment.
    ",National Plastics,Industrial Solvent,2847 Tons,42604,9 January 2026,Advance Payment
"
    Supplier: Bharat Steel Ltd

    Product: Fertilizer

    Quantity: 1668 Tons

    Price: ₹7030/Ton

    Delivery Date: 15 May 2026

    Payment Terms: 50% Advance

    Bharat Steel Ltd agrees to supply 1668 Tons of Fertilizer
    at ₹7030 per Ton.

    Delivery shall be completed by 15 May 2026.

    Payment Terms: 50% Advance.
    ",Bharat Steel Ltd,Fertilizer,1668 Tons,7030,15 May 2026,50% Advance
"
    Supplier: Global Minerals

    Product: Iron Rods

    Quantity: 4713 Tons

    Price: ₹37563/Ton

    Delivery Date: 7 September 2026

    Payment Terms: 50% Advance

    Global Minerals agrees to supply 4713 Tons of Iron Rods
    at ₹37563 per Ton.

    Delivery shall be completed by 7 September 2026.

    Payment Terms: 50% Advance.
    ",Global Minerals,Iron Rods,4713 Tons,37563,7 September 2026,50% Advance
"
    Supplier: National Plastics

    Product: Iron Rods

    Quantity: 3224 Tons

    Price: ₹22079/Ton

    Delivery Date: 6 September 2026

    Payment Terms: Advance Payment

    National Plastics agrees to supply 3224 Tons of Iron Rods
    at ₹22079 per Ton.

    Delivery shall be completed by 6 September 2026.

    Payment Terms: Advance Payment.
    ",National Plastics,Iron Rods,3224 Tons,22079,6 September 2026,Advance Payment
"
    Supplier: Bharat Steel Ltd

    Product: Fertilizer

    Quantity: 172 Tons

    Price: ₹30276/Ton

    Delivery Date: 10 October 2026

    Payment Terms: Net 45 Days

    Bharat Steel Ltd agrees to supply 172 Tons of Fertilizer
    at ₹30276 per Ton.

    Delivery shall be completed by 10 October 2026.

    Payment Terms: Net 45 Days.
    ",Bharat Steel Ltd,Fertilizer,172 Tons,30276,10 October 2026,Net 45 Days
"
    Supplier: Green Agro Pvt Ltd

    Product: Plastic Granules

    Quantity: 7702 Tons

    Price: ₹42689/Ton

    Delivery Date: 21 May 2026

    Payment Terms: 50% Advance

    Green Agro Pvt Ltd agrees to supply 7702 Tons of Plastic Granules
    at ₹42689 per Ton.

    Delivery shall be completed by 21 May 2026.

    Payment Terms: 50% Advance.
    ",Green Agro Pvt Ltd,Plastic Granules,7702 Tons,42689,21 May 2026,50% Advance
"
    Supplier: National Plastics

    Product: Industrial Solvent

    Quantity: 6288 Tons

    Price: ₹10863/Ton

    Delivery Date: 15 January 2026

    Payment Terms: Net 30 Days

    National Plastics agrees to supply 6288 Tons of Industrial Solvent
    at ₹10863 per Ton.

    Delivery shall be completed by 15 January 2026.

    Payment Terms: Net 30 Days.
    ",National Plastics,Industrial Solvent,6288 Tons,10863,15 January 2026,Net 30 Days
"
    Supplier: ABC Chemicals

    Product: Iron Rods

    Quantity: 9434 Tons

    Price: ₹1737/Ton

    Delivery Date: 4 April 2026

    Payment Terms: Net 45 Days

    ABC Chemicals agrees to supply 9434 Tons of Iron Rods
    at ₹1737 per Ton.

    Delivery shall be completed by 4 April 2026.

    Payment Terms: Net 45 Days.
    ",ABC Chemicals,Iron Rods,9434 Tons,1737,4 April 2026,Net 45 Days
"
    Supplier: National Plastics

    Product: Iron Rods

    Quantity: 7756 Tons

    Price: ₹39611/Ton

    Delivery Date: 4 September 2026

    Payment Terms: Payment After Delivery

    National Plastics agrees to supply 7756 Tons of Iron Rods
    at ₹39611 per Ton.

    Delivery shall be completed by 4 September 2026.

    Payment Terms: Payment After Delivery.
    ",National Plastics,Iron Rods,7756 Tons,39611,4 September 2026,Payment After Delivery
"
    Supplier: Global Minerals

    Product: Copper Wire

    Quantity: 6855 Tons

    Price: ₹1862/Ton

    Delivery Date: 23 April 2026

    Payment Terms: Payment After Delivery

    Global Minerals agrees to supply 6855 Tons of Copper Wire
    at ₹1862 per Ton.

    Delivery shall be completed by 23 April 2026.

    Payment Terms: Payment After Delivery.
    ",Global Minerals,Copper Wire,6855 Tons,1862,23 April 2026,Payment After Delivery
"
    Supplier: National Plastics

    Product: Iron Rods

    Quantity: 9495 Tons

    Price: ₹22194/Ton

    Delivery Date: 4 June 2026

    Payment Terms: Advance Payment

    National Plastics agrees to supply 9495 Tons of Iron Rods
    at ₹22194 per Ton.

    Delivery shall be completed by 4 June 2026.

    Payment Terms: Advance Payment.
    ",National Plastics,Iron Rods,9495 Tons,22194,4 June 2026,Advance Payment
"
    Supplier: National Plastics

    Product: Fertilizer

    Quantity: 5240 Tons

    Price: ₹39100/Ton

    Delivery Date: 27 July 2026

    Payment Terms: Payment After Delivery

    National Plastics agrees to supply 5240 Tons of Fertilizer
    at ₹39100 per Ton.

    Delivery shall be completed by 27 July 2026.

    Payment Terms: Payment After Delivery.
    ",National Plastics,Fertilizer,5240 Tons,39100,27 July 2026,Payment After Delivery
"
    Supplier: National Plastics

    Product: Copper Wire

    Quantity: 6367 Tons

    Price: ₹19148/Ton

    Delivery Date: 21 August 2026

    Payment Terms: Net 30 Days

    National Plastics agrees to supply 6367 Tons of Copper Wire
    at ₹19148 per Ton.

    Delivery shall be completed by 21 August 2026.

    Payment Terms: Net 30 Days.
    ",National Plastics,Copper Wire,6367 Tons,19148,21 August 2026,Net 30 Days
"
    Supplier: Green Agro Pvt Ltd

    Product: Iron Rods

    Quantity: 6626 Tons

    Price: ₹24771/Ton

    Delivery Date: 8 May 2026

    Payment Terms: Payment After Delivery

    Green Agro Pvt Ltd agrees to supply 6626 Tons of Iron Rods
    at ₹24771 per Ton.

    Delivery shall be completed by 8 May 2026.

    Payment Terms: Payment After Delivery.
    ",Green Agro Pvt Ltd,Iron Rods,6626 Tons,24771,8 May 2026,Payment After Delivery
"
    Supplier: ABC Chemicals

    Product: Industrial Solvent

    Quantity: 5640 Tons

    Price: ₹32399/Ton

    Delivery Date: 4 February 2026

    Payment Terms: Net 30 Days

    ABC Chemicals agrees to supply 5640 Tons of Industrial Solvent
    at ₹32399 per Ton.

    Delivery shall be completed by 4 February 2026.

    Payment Terms: Net 30 Days.
    ",ABC Chemicals,Industrial Solvent,5640 Tons,32399,4 February 2026,Net 30 Days
"
    Supplier: Global Minerals

    Product: Copper Wire

    Quantity: 5421 Tons

    Price: ₹28721/Ton

    Delivery Date: 9 June 2026

    Payment Terms: Advance Payment

    Global Minerals agrees to supply 5421 Tons of Copper Wire
    at ₹28721 per Ton.

    Delivery shall be completed by 9 June 2026.

    Payment Terms: Advance Payment.
    ",Global Minerals,Copper Wire,5421 Tons,28721,9 June 2026,Advance Payment
"
    Supplier: Bharat Steel Ltd

    Product: Fertilizer

    Quantity: 8792 Tons

    Price: ₹9071/Ton

    Delivery Date: 2 January 2026

    Payment Terms: Net 30 Days

    Bharat Steel Ltd agrees to supply 8792 Tons of Fertilizer
    at ₹9071 per Ton.

    Delivery shall be completed by 2 January 2026.

    Payment Terms: Net 30 Days.
    ",Bharat Steel Ltd,Fertilizer,8792 Tons,9071,2 January 2026,Net 30 Days
"
    Supplier: Green Agro Pvt Ltd

    Product: Copper Wire

    Quantity: 6344 Tons

    Price: ₹9612/Ton

    Delivery Date: 20 April 2026

    Payment Terms: Advance Payment

    Green Agro Pvt Ltd agrees to supply 6344 Tons of Copper Wire
    at ₹9612 per Ton.

    Delivery shall be completed by 20 April 2026.

    Payment Terms: Advance Payment.
    ",Green Agro Pvt Ltd,Copper Wire,6344 Tons,9612,20 April 2026,Advance Payment
"
    Supplier: ABC Chemicals

    Product: Iron Rods

    Quantity: 9724 Tons

    Price: ₹28100/Ton

    Delivery Date: 4 March 2026

    Payment Terms: Net 45 Days

    ABC Chemicals agrees to supply 9724 Tons of Iron Rods
    at ₹28100 per Ton.

    Delivery shall be completed by 4 March 2026.

    Payment Terms: Net 45 Days.
    ",ABC Chemicals,Iron Rods,9724 Tons,28100,4 March 2026,Net 45 Days
"
    Supplier: Bharat Steel Ltd

    Product: Copper Wire

    Quantity: 3052 Tons

    Price: ₹17759/Ton

    Delivery Date: 11 May 2026

    Payment Terms: Advance Payment

    Bharat Steel Ltd agrees to supply 3052 Tons of Copper Wire
    at ₹17759 per Ton.

    Delivery shall be completed by 11 May 2026.

    Payment Terms: Advance Payment.
    ",Bharat Steel Ltd,Copper Wire,3052 Tons,17759,11 May 2026,Advance Payment
"
    Supplier: Global Minerals

    Product: Fertilizer

    Quantity: 3558 Tons

    Price: ₹38856/Ton

    Delivery Date: 15 February 2026

    Payment Terms: Net 45 Days

    Global Minerals agrees to supply 3558 Tons of Fertilizer
    at ₹38856 per Ton.

    Delivery shall be completed by 15 February 2026.

    Payment Terms: Net 45 Days.
    ",Global Minerals,Fertilizer,3558 Tons,38856,15 February 2026,Net 45 Days
"
    Supplier: Green Agro Pvt Ltd

    Product: Industrial Solvent

    Quantity: 6855 Tons

    Price: ₹36350/Ton

    Delivery Date: 14 December 2026

    Payment Terms: Advance Payment

    Green Agro Pvt Ltd agrees to supply 6855 Tons of Industrial Solvent
    at ₹36350 per Ton.

    Delivery shall be completed by 14 December 2026.

    Payment Terms: Advance Payment.
    ",Green Agro Pvt Ltd,Industrial Solvent,6855 Tons,36350,14 December 2026,Advance Payment
"
    Supplier: Bharat Steel Ltd

    Product: Fertilizer

    Quantity: 6977 Tons

    Price: ₹46303/Ton

    Delivery Date: 2 September 2026

    Payment Terms: Payment After Delivery

    Bharat Steel Ltd agrees to supply 6977 Tons of Fertilizer
    at ₹46303 per Ton.

    Delivery shall be completed by 2 September 2026.

    Payment Terms: Payment After Delivery.
    ",Bharat Steel Ltd,Fertilizer,6977 Tons,46303,2 September 2026,Payment After Delivery
"
    Supplier: Bharat Steel Ltd

    Product: Copper Wire

    Quantity: 8534 Tons

    Price: ₹18968/Ton

    Delivery Date: 14 December 2026

    Payment Terms: 50% Advance

    Bharat Steel Ltd agrees to supply 8534 Tons of Copper Wire
    at ₹18968 per Ton.

    Delivery shall be completed by 14 December 2026.

    Payment Terms: 50% Advance.
    ",Bharat Steel Ltd,Copper Wire,8534 Tons,18968,14 December 2026,50% Advance
"
    Supplier: Green Agro Pvt Ltd

    Product: Plastic Granules

    Quantity: 5905 Tons

    Price: ₹16132/Ton

    Delivery Date: 4 February 2026

    Payment Terms: Advance Payment

    Green Agro Pvt Ltd agrees to supply 5905 Tons of Plastic Granules
    at ₹16132 per Ton.

    Delivery shall be completed by 4 February 2026.

    Payment Terms: Advance Payment.
    ",Green Agro Pvt Ltd,Plastic Granules,5905 Tons,16132,4 February 2026,Advance Payment
